"prov","fecha","total_streets","fs","fs_sh"
"palencia","June 2001",5448,188,0.0345080763582966
"palencia","January 2010",5964,160,0.0268276324614353
"palencia","June 2016",6040,127,0.0210264900662252
"pontevedra","June 2001",7249,51,0.00703545316595392
"pontevedra","January 2010",8388,16,0.00190748688602766
"pontevedra","June 2016",9585,16,0.00166927490871153
"salamanca","June 2001",13029,394,0.0302402333256581
"salamanca","January 2010",14574,301,0.0206532180595581
"salamanca","June 2016",14904,187,0.0125469672571122
"santa cruz de tenerife","June 2001",15966,82,0.00513591381686083
"santa cruz de tenerife","January 2010",18015,42,0.00233139050791008
"santa cruz de tenerife","June 2016",18332,27,0.00147283438795549
"segovia","June 2001",9601,120,0.0124986980522862
"segovia","January 2010",10918,89,0.00815167613115955
"segovia","June 2016",11272,74,0.00656493967352732
"sevilla","June 2001",29663,80,0.00269696254593264
"sevilla","January 2010",35200,62,0.00176136363636364
"sevilla","June 2016",36086,59,0.00163498309593748
"soria","June 2001",3811,35,0.00918394122277617
"soria","January 2010",4285,28,0.00653442240373396
"soria","June 2016",4771,22,0.0046111926220918
"tarragona","June 2001",18724,15,0.000801110873744926
"tarragona","January 2010",21214,12,0.000565664184029415
"tarragona","June 2016",21750,12,0.000551724137931035
"teruel","June 2001",7711,98,0.0127091168460641
"teruel","January 2010",8490,41,0.00482921083627797
"teruel","June 2016",8673,39,0.00449671393981321
"toledo","June 2001",21636,498,0.0230171935662784
"toledo","January 2010",26346,343,0.0130190541258635
"toledo","June 2016",27173,309,0.0113715820851581
"valencia","June 2001",31546,159,0.00504025866987891
"valencia","January 2010",36424,118,0.00323962222710301
"valencia","June 2016",37646,104,0.00276257769749774
"valladolid","June 2001",10156,277,0.0272745175265853
"valladolid","January 2010",11976,197,0.0164495657982632
"valladolid","June 2016",12174,172,0.0141284705109249
"zamora","June 2001",9603,221,0.0230136415703426
"zamora","January 2010",10182,144,0.0141426045963465
"zamora","June 2016",10503,129,0.0122822050842616
"zaragoza","June 2001",11875,182,0.0153263157894737
"zaragoza","January 2010",13647,82,0.00600864658899392
"zaragoza","June 2016",14000,72,0.00514285714285714
