"muni_code","muni_name","total","h_u25","h_25_40","h_a40","m_u25","m_25_40","m_a40","agricultura","industria","construccion","servicios","sin_empleo_anterior","prov"
15001,"abegondo",340,5,66,94,7,75,93,14,60,44,208,14,"a coruna"
15002,"ames",2587,47,522,587,55,812,564,36,207,295,1852,197,"a coruna"
15003,"aranga",110,2,23,40,6,27,12,8,11,18,65,8,"a coruna"
15004,"ares",543,12,120,133,12,137,129,14,76,76,345,32,"a coruna"
15005,"arteixo",2977,95,651,722,62,723,724,37,461,437,1864,178,"a coruna"
15006,"arzua",427,11,81,118,9,116,92,20,54,64,258,31,"a coruna"
15007,"bana, a",331,6,54,120,4,83,64,17,38,63,198,15,"a coruna"
15008,"bergondo",477,5,98,133,12,92,137,13,52,59,319,34,"a coruna"
15009,"betanzos",1038,18,208,251,23,284,254,16,105,134,714,69,"a coruna"
15010,"boimorto",108,3,18,37,5,20,25,11,8,22,59,8,"a coruna"
15011,"boiro",1542,65,353,347,76,397,304,72,304,222,852,92,"a coruna"
15012,"boqueixon",250,8,55,60,3,74,50,9,32,34,161,14,"a coruna"
15013,"brion",552,18,126,145,12,155,96,18,57,104,328,45,"a coruna"
15014,"cabana de bergantinos",399,11,38,132,9,89,120,19,108,81,174,17,"a coruna"
15015,"cabanas",242,3,49,70,4,49,67,4,30,47,146,15,"a coruna"
15016,"camarinas",532,19,75,110,22,157,149,51,66,81,291,43,"a coruna"
15017,"cambre",1913,60,340,469,37,458,549,26,270,216,1287,114,"a coruna"
15018,"capela, a",95,2,23,30,NA,29,11,3,10,22,58,2,"a coruna"
15019,"carballo",3443,87,616,850,105,879,906,59,731,828,1604,221,"a coruna"
15901,"carino",258,10,46,62,5,78,57,17,28,31,167,15,"a coruna"
15020,"carnota",340,1,56,91,2,81,109,25,67,53,185,10,"a coruna"
15021,"carral",385,12,73,97,8,98,97,19,73,57,216,20,"a coruna"
15022,"cedeira",488,16,110,111,11,122,118,39,54,62,276,57,"a coruna"
15023,"cee",721,21,135,171,16,209,169,18,77,128,452,46,"a coruna"
15024,"cerceda",281,7,51,66,7,64,86,6,63,54,146,12,"a coruna"
15025,"cerdido",72,1,13,25,5,13,15,8,6,13,40,5,"a coruna"
15026,"cesuras",131,4,19,52,5,30,21,7,13,29,71,11,"a coruna"
15027,"coiros",108,2,21,36,0,28,21,5,14,11,75,3,"a coruna"
15028,"corcubion",135,1,28,31,5,32,38,4,15,18,93,5,"a coruna"
15029,"coristanco",675,17,112,246,11,110,179,16,174,226,223,36,"a coruna"
15030,"coruna, a",20505,477,4258,4696,439,5207,5428,355,1594,1905,14932,1719,"a coruna"
15031,"culleredo",2338,71,429,571,58,623,586,23,277,280,1579,179,"a coruna"
15032,"curtis",232,1,51,68,1,65,46,16,30,30,144,12,"a coruna"
15033,"dodro",280,4,54,62,3,64,93,17,65,34,146,18,"a coruna"
15034,"dumbria",312,7,58,70,4,76,97,7,30,31,230,14,"a coruna"
15035,"fene",1242,25,296,286,21,296,318,18,169,189,735,131,"a coruna"
15036,"ferrol",6986,161,1521,1493,157,1793,1861,165,733,831,4429,828,"a coruna"
15037,"fisterra",444,11,86,93,11,117,126,43,19,59,290,33,"a coruna"
15038,"frades",162,2,37,51,1,34,37,9,28,40,80,5,"a coruna"
15039,"irixoa",74,4,11,29,1,16,13,3,3,11,51,6,"a coruna"
15041,"laracha, a",966,23,207,242,19,227,248,33,212,179,497,45,"a coruna"
15040,"laxe",341,8,42,94,6,86,105,17,68,62,174,20,"a coruna"
15042,"lousame",240,7,53,74,7,51,48,16,41,62,105,16,"a coruna"
15043,"malpica de bergantinos",453,7,72,131,16,93,134,28,136,72,187,30,"a coruna"
15044,"manon",84,3,21,29,3,17,11,11,6,4,62,1,"a coruna"
15045,"mazaricos",276,10,58,106,5,58,39,28,29,81,123,15,"a coruna"
15046,"melide",587,17,103,133,21,165,148,35,78,70,345,59,"a coruna"
15047,"mesia",158,3,27,55,1,37,35,21,34,24,68,11,"a coruna"
15048,"mino",435,16,90,105,11,119,94,9,38,53,305,30,"a coruna"
15049,"moeche",77,3,16,26,3,16,13,8,7,10,50,2,"a coruna"
15050,"monfero",105,2,25,46,2,20,10,5,14,37,40,9,"a coruna"
15051,"mugardos",527,9,126,129,5,149,109,13,80,93,305,36,"a coruna"
15053,"muros",633,18,119,172,14,136,174,47,109,111,335,31,"a coruna"
15052,"muxia",407,13,73,87,12,104,118,23,39,67,240,38,"a coruna"
15054,"naron",3606,92,813,683,76,1103,839,46,510,470,2229,351,"a coruna"
15055,"neda",479,10,126,106,13,126,98,9,80,65,285,40,"a coruna"
15056,"negreira",633,26,120,159,14,170,144,15,76,104,384,54,"a coruna"
15057,"noia",1017,35,239,209,19,272,243,62,122,145,600,88,"a coruna"
