"muni_code","muni_name","total","h_u25","h_25_40","h_a40","m_u25","m_25_40","m_a40","agricultura","industria","construccion","servicios","sin_empleo_anterior","prov"
15058,"oleiros",2183,54,425,522,46,527,609,32,213,220,1573,145,"a coruna"
15059,"ordes",1068,21,200,235,15,311,286,42,298,188,489,51,"a coruna"
15060,"oroso",526,11,97,113,12,157,136,20,50,90,330,36,"a coruna"
15061,"ortigueira",428,7,89,109,14,110,99,20,46,61,278,23,"a coruna"
15062,"outes",452,10,90,139,7,100,106,25,70,95,238,24,"a coruna"
15902,"oza-cesuras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a coruna"
15063,"oza dos rios",209,5,47,62,8,39,48,6,22,33,138,10,"a coruna"
15064,"paderne",175,5,38,42,4,46,40,2,29,17,121,6,"a coruna"
15065,"padron",803,18,158,201,13,210,203,14,133,118,478,60,"a coruna"
15066,"pino, o",362,12,68,97,10,93,82,12,36,68,222,24,"a coruna"
15067,"pobra do caraminal, a",650,23,144,133,25,168,157,23,91,70,421,45,"a coruna"
15068,"ponteceso",401,9,82,115,11,96,88,26,74,76,197,28,"a coruna"
15069,"pontedeume",651,12,145,158,7,167,162,5,74,86,434,52,"a coruna"
15070,"pontes de garcia rodriguez, as",761,12,234,142,16,209,148,15,139,94,459,54,"a coruna"
15071,"porto do son",644,25,149,156,12,164,138,71,76,122,340,35,"a coruna"
15072,"rianxo",1042,33,214,225,37,268,265,50,280,206,446,60,"a coruna"
15073,"ribeira",1927,64,389,325,68,572,509,145,247,143,1218,174,"a coruna"
15074,"rois",385,8,75,102,11,94,95,13,66,71,204,31,"a coruna"
15075,"sada",1097,22,199,296,17,249,314,27,96,117,795,62,"a coruna"
15076,"san sadurnino",222,3,60,56,4,55,44,9,38,41,119,15,"a coruna"
15077,"santa comba",739,14,130,207,10,183,195,26,117,177,376,43,"a coruna"
15078,"santiago de compostela",7592,155,1674,1642,181,2212,1728,120,544,768,5589,571,"a coruna"
15079,"santiso",111,4,21,39,4,18,25,11,19,22,52,7,"a coruna"
15080,"sobrado",92,3,16,42,4,12,15,5,12,18,51,6,"a coruna"
15081,"somozas, as",93,5,14,30,0,21,23,5,22,22,41,3,"a coruna"
15082,"teo",1415,42,282,356,40,382,313,24,146,205,926,114,"a coruna"
15083,"toques",94,2,20,32,3,14,23,11,9,22,42,10,"a coruna"
15084,"tordoia",186,1,26,79,2,32,46,10,34,50,86,6,"a coruna"
15085,"touro",259,5,41,94,7,51,61,15,32,56,134,22,"a coruna"
15086,"trazo",188,2,31,74,1,47,33,14,18,49,97,10,"a coruna"
15088,"val do dubra",295,3,51,112,3,68,58,14,43,60,167,11,"a coruna"
15087,"valdovino",550,8,127,133,13,141,128,11,86,85,323,45,"a coruna"
15089,"vedra",337,13,73,88,5,95,63,10,35,55,223,14,"a coruna"
15091,"vilarmaior",65,1,11,22,3,19,9,2,7,10,41,5,"a coruna"
15090,"vilasantar",54,0,10,21,1,10,12,3,7,8,33,3,"a coruna"
15092,"vimianzo",564,15,80,154,10,149,156,26,112,125,272,29,"a coruna"
15093,"zas",362,8,47,142,9,58,98,19,75,89,160,19,"a coruna"
2001,"abengibre",64,1,12,15,2,11,23,8,7,2,42,5,"albacete"
2002,"alatoz",73,3,13,15,1,14,27,6,5,27,34,1,"albacete"
2003,"albacete",18336,922,3798,3232,823,5048,4513,996,1666,1445,12319,1910,"albacete"
2004,"albatana",84,3,7,19,7,16,32,23,6,5,49,1,"albacete"
2005,"alborea",90,6,18,22,4,22,18,22,7,4,50,7,"albacete"
2006,"alcadozo",98,3,11,23,7,30,24,9,2,14,69,4,"albacete"
2007,"alcala del jucar",119,12,21,32,6,17,31,13,8,7,81,10,"albacete"
2008,"alcaraz",199,17,35,39,8,50,50,27,4,13,142,13,"albacete"
2009,"almansa",3075,147,480,513,154,763,1018,109,790,178,1633,365,"albacete"
2010,"alpera",282,11,29,55,14,81,92,32,58,17,155,20,"albacete"
2011,"ayna",59,3,17,17,2,9,11,8,3,17,30,1,"albacete"
2012,"balazote",301,14,53,50,13,93,78,61,38,33,163,6,"albacete"
2014,"ballestero, el",39,2,4,5,NA,9,19,5,2,3,28,1,"albacete"
2013,"balsa de ves",13,NA,3,5,0,2,3,5,1,NA,5,2,"albacete"
2015,"barrax",290,15,25,46,26,84,94,37,42,18,172,21,"albacete"
2016,"bienservida",124,12,12,32,5,26,37,36,2,5,77,4,"albacete"
2017,"bogarra",158,7,23,38,6,32,52,14,9,81,47,7,"albacete"
2018,"bonete",125,2,14,27,6,25,51,14,24,12,61,14,"albacete"
2019,"bonillo, el",340,21,39,47,18,87,128,60,30,156,84,10,"albacete"
2020,"carcelen",48,0,10,9,2,10,17,6,1,6,34,1,"albacete"
2021,"casas de juan nunez",160,11,22,33,5,46,43,14,10,9,111,16,"albacete"
2022,"casas de lazaro",36,2,6,8,2,8,10,2,3,4,22,5,"albacete"
2023,"casas de ves",70,5,19,10,6,15,15,8,1,1,50,10,"albacete"
2024,"casas-ibanez",522,22,84,113,23,137,143,93,85,30,274,40,"albacete"
2025,"caudete",1143,48,176,206,58,319,336,82,166,110,672,113,"albacete"
2026,"cenizate",127,5,13,24,4,32,49,36,9,9,69,4,"albacete"
2029,"chinchilla de monte-aragon",456,24,102,105,10,131,84,33,62,41,281,39,"albacete"
2027,"corral-rubio",17,1,0,6,NA,3,7,3,1,NA,13,NA,"albacete"
2028,"cotillas",24,1,2,10,NA,2,9,8,1,8,7,NA,"albacete"
2030,"elche de la sierra",618,33,97,113,27,171,177,46,47,43,449,33,"albacete"
2031,"ferez",113,3,21,22,2,25,40,13,8,52,38,2,"albacete"
2032,"fuensanta",39,1,7,11,2,9,9,4,5,3,25,2,"albacete"
2033,"fuente-alamo",343,20,43,62,21,98,99,71,21,21,197,33,"albacete"
2034,"fuentealbilla",199,19,31,38,5,48,58,42,28,7,116,6,"albacete"
2035,"gineta, la",282,17,42,58,9,85,71,20,40,15,183,24,"albacete"
2036,"golosalvo",15,NA,3,5,0,2,5,1,2,1,11,0,"albacete"
2037,"hellin",4092,206,636,725,228,1075,1222,758,528,269,2309,228,"albacete"
2038,"herrera, la",37,0,3,4,3,12,15,11,3,NA,22,1,"albacete"
2039,"higueruela",96,4,13,10,3,25,41,6,5,3,78,4,"albacete"
2040,"hoya-gonzalo",56,2,9,12,4,11,18,2,4,5,38,7,"albacete"
2041,"jorquera",47,2,10,13,NA,8,14,4,7,9,26,1,"albacete"
2042,"letur",167,6,19,56,5,23,58,11,10,16,125,5,"albacete"
2043,"lezuza",196,10,28,39,9,44,66,28,13,13,127,15,"albacete"
2044,"lietor",277,17,36,56,13,67,88,33,23,34,176,11,"albacete"
2045,"madrigueras",503,22,87,84,17,132,161,107,71,135,157,33,"albacete"
2046,"mahora",152,5,23,26,7,50,41,31,15,51,48,7,"albacete"
2047,"masegoso",7,NA,0,3,NA,1,3,0,0,NA,7,NA,"albacete"
2048,"minaya",148,10,18,27,10,40,43,25,15,57,39,12,"albacete"
2049,"molinicos",129,5,14,28,1,29,52,13,5,8,96,7,"albacete"
2050,"montalvos",3,NA,NA,1,NA,2,NA,NA,NA,NA,3,NA,"albacete"
2051,"montealegre del castillo",175,7,19,32,11,53,53,19,59,13,70,14,"albacete"
2052,"motilleja",62,0,13,14,4,11,20,11,2,7,38,4,"albacete"
2053,"munera",421,22,47,56,27,112,157,73,60,117,147,24,"albacete"
2054,"navas de jorquera",53,2,7,8,2,9,25,3,6,22,16,6,"albacete"
2055,"nerpio",191,8,30,50,5,37,61,16,10,23,134,8,"albacete"
2056,"ontur",199,11,31,37,14,47,59,35,25,18,112,9,"albacete"
2057,"ossa de montiel",380,26,50,82,18,91,113,34,46,29,254,17,"albacete"
2058,"paterna del madera",54,2,14,11,1,9,17,4,28,8,11,3,"albacete"
2059,"penascosa",41,4,11,4,1,8,13,6,1,3,29,2,"albacete"
2060,"penas de san pedro",152,11,28,45,6,23,39,30,15,7,93,7,"albacete"
2061,"petrola",59,8,7,15,2,13,14,5,4,5,38,7,"albacete"
2062,"povedilla",75,4,9,19,6,13,24,13,5,20,28,9,"albacete"
2901,"pozo canada",341,11,42,75,22,113,78,44,24,42,199,32,"albacete"
2063,"pozohondo",231,7,41,48,13,57,65,22,18,17,156,18,"albacete"
2064,"pozo-lorente",51,1,11,15,4,5,15,6,3,3,38,1,"albacete"
2065,"pozuelo",68,7,8,7,2,13,31,4,6,3,50,5,"albacete"
2066,"recueja, la",32,3,5,8,0,9,7,4,NA,1,26,1,"albacete"
2067,"riopar",195,9,37,54,4,40,51,31,7,18,134,5,"albacete"
2068,"robledo",36,2,2,5,6,12,9,2,7,5,17,5,"albacete"
2069,"roda, la",1734,85,301,259,79,563,447,236,252,60,996,190,"albacete"
2070,"salobre",43,0,12,12,1,11,7,15,NA,4,24,0,"albacete"
2071,"san pedro",161,13,25,42,6,38,37,22,3,30,96,10,"albacete"
2072,"socovos",338,8,63,68,15,70,114,58,19,24,219,18,"albacete"
2073,"tarazona de la mancha",810,32,132,131,22,250,243,172,89,33,440,76,"albacete"
2074,"tobarra",837,44,133,169,39,216,236,126,125,66,467,53,"albacete"
2075,"valdeganga",225,8,61,36,10,46,64,21,23,52,103,26,"albacete"
2076,"vianos",55,2,8,11,7,9,18,12,2,2,35,4,"albacete"
2077,"villa de ves",10,NA,1,3,1,2,3,NA,NA,NA,10,NA,"albacete"
2078,"villalgordo del jucar",69,5,10,19,1,14,20,18,7,1,36,7,"albacete"
2079,"villamalea",403,22,70,75,16,108,112,109,68,18,195,13,"albacete"
2080,"villapalacios",74,6,18,15,5,14,16,17,2,5,47,3,"albacete"
2081,"villarrobledo",2874,184,525,474,172,832,687,765,279,238,1429,163,"albacete"
2082,"villatoya",12,NA,4,5,NA,2,1,2,1,0,9,NA,"albacete"
2083,"villavaliente",24,2,3,4,1,2,12,0,2,1,18,3,"albacete"
2084,"villaverde de guadalimar",56,0,7,17,2,10,20,11,2,4,35,4,"albacete"
2085,"viveros",30,1,2,3,2,8,14,3,2,1,22,2,"albacete"
2086,"yeste",410,22,71,115,12,67,123,52,9,145,182,22,"albacete"
3001,"adsubia",28,2,5,4,3,9,5,2,3,2,18,3,"alicante"
3002,"agost",432,15,91,118,9,103,96,84,58,65,197,28,"alicante"
3003,"agres",38,1,6,13,3,7,8,4,4,5,24,1,"alicante"
3004,"aigues",65,2,9,18,1,18,17,NA,3,3,55,4,"alicante"
3005,"albatera",1230,46,212,236,45,330,361,154,287,103,602,84,"alicante"
3006,"alcalali",56,6,13,16,NA,8,13,NA,5,10,36,5,"alicante"
3007,"alcocer de planes",15,NA,6,2,NA,3,4,NA,4,2,9,NA,"alicante"
3008,"alcoleja",21,0,3,9,0,4,5,0,2,1,18,NA,"alicante"
3009,"alcoy/alcoi",6558,169,1107,1455,188,1532,2107,120,1538,555,3924,421,"alicante"
3010,"alfafara",20,2,1,6,0,8,3,1,6,NA,13,0,"alicante"
3011,"alfas del pi, l'",1160,50,224,262,28,271,325,14,32,120,969,25,"alicante"
3012,"algorfa",204,8,23,45,8,50,70,5,24,23,139,13,"alicante"
3013,"alguena",149,3,30,33,3,42,38,19,42,6,64,18,"alicante"
3014,"alicante/alacant",33767,1080,6811,8071,989,8098,8718,727,1903,3897,24974,2266,"alicante"
3015,"almoradi",2437,106,479,550,93,634,575,182,300,357,1316,282,"alicante"
3016,"almudaina",5,NA,1,2,NA,1,1,NA,2,1,2,NA,"alicante"
3017,"alqueria d'asnar, l'",43,NA,12,4,1,13,13,NA,14,5,21,3,"alicante"
3018,"altea",1863,63,374,428,64,469,465,46,56,241,1462,58,"alicante"
3019,"aspe",2583,109,454,552,73,676,719,494,533,253,1067,236,"alicante"
3020,"balones",19,1,4,9,NA,3,2,0,2,3,14,0,"alicante"
3021,"banyeres de mariola",470,12,52,54,18,131,203,5,158,19,210,78,"alicante"
3022,"benasau",15,NA,1,5,1,4,4,0,2,1,12,NA,"alicante"
3023,"beneixama",95,3,14,14,6,26,32,12,25,7,35,16,"alicante"
3024,"benejuzar",535,22,104,129,16,111,153,28,90,94,295,28,"alicante"
3025,"benferri",170,5,39,43,2,42,39,17,25,23,97,8,"alicante"
3026,"beniarbeig",162,6,27,44,5,40,40,3,14,27,108,10,"alicante"
3027,"beniarda",8,NA,2,2,0,4,0,NA,NA,NA,8,NA,"alicante"
3028,"beniarres",100,0,20,34,NA,22,24,6,23,16,50,5,"alicante"
3030,"benidoleig",50,2,10,7,1,9,21,2,5,6,35,2,"alicante"
3031,"benidorm",7065,277,1459,1482,230,1708,1909,91,170,428,6255,121,"alicante"
3032,"benifallim",8,1,1,3,1,1,1,1,NA,3,4,NA,"alicante"
3033,"benifato",9,NA,1,2,NA,2,4,1,NA,1,7,NA,"alicante"
3029,"benigembla",11,NA,2,4,NA,1,4,NA,NA,2,8,1,"alicante"
3034,"benijofar",202,7,39,46,4,38,68,11,20,32,130,9,"alicante"
3035,"benilloba",89,3,20,24,1,10,31,2,16,11,56,4,"alicante"
3036,"benillup",9,NA,1,1,0,1,6,2,NA,0,7,NA,"alicante"
3037,"benimantell",27,NA,7,3,1,6,10,1,1,0,25,NA,"alicante"
3038,"benimarfull",34,1,5,11,0,5,12,1,8,8,16,1,"alicante"
3039,"benimassot",11,0,1,7,NA,NA,3,NA,1,2,8,NA,"alicante"
3040,"benimeli",18,NA,4,2,NA,6,6,NA,0,2,14,2,"alicante"
3041,"benissa",808,29,159,186,17,233,184,16,34,134,590,34,"alicante"
3042,"benitachell/poble nou de benitatxell, el",167,13,33,43,3,39,36,4,5,22,127,9,"alicante"
3043,"biar",342,6,40,84,8,67,137,15,117,18,162,30,"alicante"
3044,"bigastro",724,19,135,177,16,176,201,49,105,163,363,44,"alicante"
3045,"bolulla",8,2,1,4,NA,NA,1,NA,NA,0,8,NA,"alicante"
3046,"busot",184,10,30,51,11,34,48,9,9,30,127,9,"alicante"
3048,"callosa d'en sarria",521,14,101,135,10,161,100,115,23,53,324,6,"alicante"
3049,"callosa de segura",1884,85,404,397,80,480,438,138,364,212,970,200,"alicante"
3047,"calpe/calp",1867,72,421,420,63,501,390,32,42,236,1495,62,"alicante"
3050,"campello, el",2211,55,390,520,67,576,603,49,110,275,1705,72,"alicante"
3051,"campo de mirra/camp de mirra, el",42,2,6,8,1,11,14,5,15,1,16,5,"alicante"
3052,"canada",76,2,16,11,0,26,21,7,11,3,47,8,"alicante"
3053,"castalla",904,34,128,206,23,218,295,33,293,119,389,70,"alicante"
3054,"castell de castells",30,1,4,10,1,4,10,0,3,2,23,2,"alicante"
3075,"castell de guadalest, el",7,NA,1,1,1,1,3,1,NA,NA,6,NA,"alicante"
3055,"catral",818,28,134,184,24,228,220,45,204,98,415,56,"alicante"
3056,"cocentaina",1271,36,217,294,29,273,422,21,298,122,745,85,"alicante"
3057,"confrides",19,NA,4,7,NA,7,1,2,1,2,12,2,"alicante"
3058,"cox",538,24,95,124,26,173,96,56,72,52,309,49,"alicante"
3059,"crevillent",3972,150,639,872,127,917,1267,123,1265,371,1810,403,"alicante"
3061,"daya nueva",168,7,29,48,7,33,44,7,20,22,104,15,"alicante"
3062,"daya vieja",26,0,5,4,2,7,8,2,1,4,15,4,"alicante"
3063,"denia",4486,172,799,1130,118,1092,1175,75,295,603,3221,292,"alicante"
3064,"dolores",745,19,127,202,29,177,191,52,157,85,388,63,"alicante"
3065,"elche/elx",28353,811,4599,6023,819,6807,9294,879,7552,2594,15363,1965,"alicante"
3066,"elda",6887,291,1084,1380,219,1460,2453,158,2404,503,3273,549,"alicante"
3067,"facheca",11,2,2,3,0,0,4,0,NA,1,9,1,"alicante"
3068,"famorca",4,NA,NA,4,NA,NA,0,NA,NA,1,3,NA,"alicante"
3069,"finestrat",482,14,97,115,10,138,108,6,13,39,416,8,"alicante"
3070,"formentera del segura",364,14,69,91,13,92,85,26,37,52,224,25,"alicante"
3072,"gaianes",34,0,3,16,4,4,7,2,7,2,23,NA,"alicante"
3071,"gata de gorgos",478,13,83,126,19,122,115,19,43,61,311,44,"alicante"
3073,"gorga",20,2,1,7,NA,1,9,2,6,2,10,NA,"alicante"
3074,"granja de rocamora",195,4,35,43,6,67,40,14,38,13,117,13,"alicante"
3076,"guardamar del segura",1170,37,232,251,29,319,302,40,74,115,920,21,"alicante"
3077,"hondon de las nieves/fondo de les neus,e",196,5,32,50,2,50,57,22,43,15,96,20,"alicante"
3078,"hondon de los frailes",74,1,13,18,1,22,19,7,18,11,32,6,"alicante"
3079,"ibi",2600,81,351,486,76,661,945,90,1129,141,1094,146,"alicante"
3080,"jacarilla",165,5,28,44,4,31,53,12,27,31,85,10,"alicante"
3081,"jalon/xalo",188,7,31,56,7,38,49,7,14,25,137,5,"alicante"
3082,"javea/xabia",1910,61,380,468,66,497,438,19,61,288,1373,169,"alicante"
3083,"jijona/xixona",509,23,107,121,30,124,104,9,240,25,226,9,"alicante"
3085,"lliber",32,1,4,10,0,7,10,1,1,7,22,1,"alicante"
3084,"lorcha/orxa, l'",58,2,8,18,5,11,14,1,15,6,33,3,"alicante"
3086,"millena",12,NA,4,2,NA,3,3,1,1,NA,10,NA,"alicante"
3088,"monforte del cid",685,38,166,156,27,197,101,216,84,79,255,51,"alicante"
3089,"monovar/monover",1668,71,239,350,50,357,601,67,618,103,746,134,"alicante"
3903,"montesinos, los",419,24,76,110,19,100,90,37,19,73,275,15,"alicante"
3091,"murla",23,1,5,9,NA,5,3,NA,1,3,18,1,"alicante"
3092,"muro de alcoy",853,28,144,165,17,233,266,29,236,67,466,55,"alicante"
3090,"mutxamel",1954,70,420,450,53,493,468,73,134,268,1419,60,"alicante"
3093,"novelda",2897,107,539,643,109,712,787,581,556,272,1198,290,"alicante"
3094,"nucia, la",1268,51,260,241,36,349,331,19,43,111,1080,15,"alicante"
3095,"ondara",806,29,140,199,32,205,201,17,46,120,549,74,"alicante"
3096,"onil",749,25,112,152,14,183,263,22,322,44,322,39,"alicante"
3097,"orba",99,1,21,23,2,22,30,4,4,8,77,6,"alicante"
3099,"orihuela",6154,213,1147,1428,190,1563,1613,439,688,1056,3578,393,"alicante"
3098,"orxeta",58,0,10,16,NA,14,18,1,3,3,49,2,"alicante"
3100,"parcent",45,1,8,14,1,13,8,0,2,11,30,2,"alicante"
3101,"pedreguer",683,28,119,165,23,161,187,11,88,79,425,80,"alicante"
3102,"pego",751,30,151,157,28,214,171,60,63,94,468,66,"alicante"
3103,"penaguila",31,2,7,5,1,10,6,2,1,3,25,NA,"alicante"
3104,"petrer",4723,180,658,880,141,1052,1812,46,1992,331,2066,288,"alicante"
3902,"pilar de la horadada",1412,66,279,296,62,404,305,184,63,139,985,41,"alicante"
3105,"pinoso/pinos, el",722,30,130,148,30,184,200,68,216,51,297,90,"alicante"
3106,"planes",79,4,19,27,2,8,19,14,17,15,32,1,"alicante"
3901,"poblets, els",150,6,26,34,8,36,40,1,14,18,107,10,"alicante"
3107,"polop",353,7,69,82,16,112,67,20,16,35,277,5,"alicante"
3060,"quatretondeta",10,NA,3,4,NA,1,2,0,1,1,8,NA,"alicante"
3109,"rafal",440,27,95,103,10,111,94,35,51,96,215,43,"alicante"
3110,"rafol d'almunia, el",22,1,4,7,0,4,6,NA,3,NA,17,2,"alicante"
3111,"redovan",931,30,148,225,28,248,252,53,131,172,501,74,"alicante"
3112,"relleu",69,4,10,19,2,9,25,2,4,8,53,2,"alicante"
3113,"rojales",718,25,146,182,31,142,192,38,64,116,478,22,"alicante"
3114,"romana, la",179,7,29,44,6,57,36,48,38,10,69,14,"alicante"
3115,"sagra",22,1,2,7,1,4,7,NA,2,5,12,3,"alicante"
3116,"salinas",217,6,30,43,10,43,85,9,84,21,95,8,"alicante"
3117,"sanet y negrals",43,1,5,8,2,12,15,2,7,6,25,3,"alicante"
3118,"san fulgencio",474,14,85,130,13,102,130,16,39,50,325,44,"alicante"
3904,"san isidro",212,9,30,41,13,60,59,8,61,21,108,14,"alicante"
3120,"san miguel de salinas",441,22,84,97,16,115,107,27,17,88,286,23,"alicante"
3121,"santa pola",3104,122,642,590,113,849,788,41,365,253,2281,164,"alicante"
3119,"sant joan d'alacant",1866,64,367,408,34,462,531,30,87,222,1441,86,"alicante"
3122,"san vicente del raspeig/sant vicent del",5651,182,1134,1215,155,1593,1372,124,499,651,4021,356,"alicante"
3123,"sax",1131,50,163,224,34,251,409,33,422,74,474,128,"alicante"
3124,"sella",38,2,12,11,1,6,6,3,4,4,25,2,"alicante"
3125,"senija",39,3,6,8,0,13,9,2,3,3,28,3,"alicante"
3127,"tarbena",24,2,6,8,0,4,4,1,NA,2,21,0,"alicante"
3128,"teulada",645,21,131,131,17,193,152,15,25,90,495,20,"alicante"
3129,"tibi",106,6,18,22,6,21,33,1,26,8,62,9,"alicante"
3130,"tollos",2,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,"alicante"
3131,"tormos",20,1,4,4,NA,2,9,1,5,2,12,0,"alicante"
3132,"torremanzanas/torre de les macanes, la",52,2,10,11,1,12,16,1,15,5,28,3,"alicante"
3133,"torrevieja",9311,301,1754,2333,320,2222,2381,313,454,1338,6934,272,"alicante"
3134,"vall d'alcala, la",11,NA,3,3,NA,2,3,3,NA,1,7,0,"alicante"
3135,"vall de ebo",18,2,4,6,NA,2,4,6,1,1,8,2,"alicante"
3136,"vall de gallinera",35,3,9,9,1,8,5,7,4,1,18,5,"alicante"
3137,"vall de laguar, la",52,1,10,16,0,11,14,3,4,3,37,5,"alicante"
3138,"verger, el",481,19,83,132,13,112,122,8,27,89,321,36,"alicante"
3139,"villajoyosa/vila joiosa, la",3998,144,859,887,126,1060,922,98,315,431,2968,186,"alicante"
3140,"villena",3848,119,654,755,109,919,1292,295,1141,319,1588,505,"alicante"
4001,"abla",94,3,23,32,7,20,9,7,5,8,71,3,"almeria"
4002,"abrucena",75,3,14,24,8,14,12,14,4,6,45,6,"almeria"
4003,"adra",2484,161,492,565,109,662,495,437,116,384,1260,287,"almeria"
4004,"albanchez",28,2,6,6,2,8,4,2,3,2,17,4,"almeria"
4005,"alboloduy",46,4,11,15,2,8,6,10,7,7,20,2,"almeria"
4006,"albox",978,48,213,199,55,290,173,71,64,127,619,97,"almeria"
4007,"alcolea",82,7,16,36,11,10,2,11,2,23,42,4,"almeria"
4008,"alcontar",25,0,6,8,0,5,6,2,5,6,11,1,"almeria"
4009,"alcudia de monteagud",7,0,1,3,NA,2,1,0,NA,NA,7,0,"almeria"
4010,"alhabia",83,2,23,26,4,20,8,3,18,24,30,8,"almeria"
4011,"alhama de almeria",468,42,99,93,41,101,92,41,24,47,300,56,"almeria"
4012,"alicun",18,1,2,4,1,6,4,0,1,3,13,1,"almeria"
4013,"almeria",22417,961,4713,5051,911,5712,5069,1403,853,3047,14273,2841,"almeria"
4014,"almocita",9,0,1,2,1,2,3,0,1,1,7,NA,"almeria"
4015,"alsodux",10,1,4,3,NA,1,1,0,NA,NA,9,1,"almeria"
4016,"antas",169,9,23,24,7,69,37,27,4,15,108,15,"almeria"
