"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
35,"35017",25447,15415,15079,127,336,"CANARIAS DE",32
35,"35032",3432,2541,2498,19,43,"CANARIAS DE",3
35,"35010",3548,2371,2336,20,35,"CANARIAS DE",4
35,"35009",19832,14305,14036,97,269,"CANARIAS DE",31
35,"35003",5125,2989,2929,21,60,"CANARIAS DE",6
35,"35031",7270,5184,5000,36,184,"CANARIAS DE",11
35,"35028",9705,5552,5478,64,74,"CANARIAS DE",9
35,"35012",10331,5684,5610,32,74,"CANARIAS DE",16
35,"35024",13621,8665,8555,76,110,"CANARIAS DE",14
35,"35030",9205,5602,5501,58,101,"CANARIAS DE",72
35,"35021",14942,10691,10537,80,154,"CANARIAS DE",12
35,"35018",12463,7628,7546,56,82,"CANARIAS DE",4
35,"35013",6609,4997,4881,51,116,"CANARIAS DE",6
35,"35014",11169,6234,6107,59,127,"CANARIAS DE",9
35,"35025",1801,1239,1216,9,23,"CANARIAS DE",5
35,"35006",30302,21967,21625,243,342,"CANARIAS DE",64
35,"35033",6378,4412,4354,24,58,"CANARIAS DE",8
35,"35015",9870,5451,5368,29,83,"CANARIAS DE",16
35,"35008",6109,4631,4542,37,89,"CANARIAS DE",14
35,"35019",32253,19902,19621,126,281,"CANARIAS DE",43
35,"35016",297974,198159,195935,1546,2224,"CANARIAS DE",552
35,"35011",23882,16369,16095,107,274,"CANARIAS DE",54
35,"35026",80806,53749,52665,450,1084,"CANARIAS DE",159
35,"35007",515,332,330,2,2,"CANARIAS DE",0
35,"35002",23129,15904,15675,74,229,"CANARIAS DE",72
35,"35027",10311,7497,7364,58,133,"CANARIAS DE",14
35,"35034",7707,3921,3872,30,49,"CANARIAS DE",9
35,"35004",38814,20869,20641,192,228,"CANARIAS DE",34
35,"35029",4125,2545,2514,34,31,"CANARIAS DE",3
35,"35020",6054,4073,4018,26,55,"CANARIAS DE",3
35,"35023",11680,8467,8295,75,172,"CANARIAS DE",19
35,"35022",48059,30474,30134,219,340,"CANARIAS DE",294
35,"35001",4599,3455,3396,27,59,"CANARIAS DE",6
35,"35005",1071,718,711,6,7,"CANARIAS DE",1
12,"12001",1054,798,786,8,12,"PSOE",224
12,"12071",1280,1002,988,5,14,"PSOE",248
12,"12082",9655,7570,7492,38,78,"PSOE",1537
12,"12127",77,56,56,0,0,"PSOE",25
12,"12009",17430,12600,12501,77,99,"PSOE",2807
12,"12045",354,282,279,2,3,"PSOE",103
12,"12074",784,690,678,9,12,"PSOE",225
12,"12056",285,243,238,3,5,"PSOE",52
12,"12065",192,166,166,0,0,"PSOE",43
12,"12140",1140,961,950,5,11,"PSOE",257
12,"12027",17217,12263,12122,77,141,"PSOE",2403
12,"12132",486,407,398,2,9,"PSOE",85
12,"12116",67,49,49,0,0,"PSOE",12
12,"12091",185,145,141,3,4,"PSOE",29
12,"12028",12566,9902,9830,55,72,"PSOE",1363
12,"12094",851,688,674,2,14,"PSOE",146
12,"12005",8090,6113,6027,57,86,"PSOE",1363
12,"12085",5061,3310,3264,20,46,"PSOE",607
12,"12002",116,98,96,0,2,"PSOE",31
12,"12069",74,50,49,0,1,"PSOE",6
12,"12075",123,94,92,1,2,"PSOE",24
12,"12038",171,121,120,1,1,"PSOE",20
12,"12067",543,442,424,1,18,"PSOE",136
12,"12057",606,495,487,3,8,"PSOE",131
12,"12048",249,196,192,1,4,"PSOE",64
12,"12108",463,395,390,0,5,"PSOE",87
12,"12133",60,49,49,0,0,"PSOE",11
12,"12083",95,82,80,0,2,"PSOE",30
12,"12100",1345,1115,1098,6,17,"PSOE",352
12,"12040",117832,89135,88464,525,671,"PSOE",16985
12,"12020",124,104,103,1,1,"PSOE",7
12,"12011",4587,3530,3480,30,50,"PSOE",1083
12,"12003",991,762,752,10,10,"PSOE",78
12,"12122",805,660,647,4,13,"PSOE",167
12,"12084",17599,13146,13022,98,124,"PSOE",3321
12,"12039",840,726,719,2,7,"PSOE",214
12,"12060",446,367,360,2,7,"PSOE",62
12,"12088",69,58,58,0,0,"PSOE",10
12,"12117",3576,2786,2747,17,39,"PSOE",677
12,"12029",717,572,566,6,6,"PSOE",163
12,"12109",647,531,520,1,11,"PSOE",168
12,"12099",542,434,405,9,29,"PSOE",71
12,"12137",37,26,26,1,0,"PSOE",13
12,"12129",1840,1391,1360,19,31,"PSOE",400
12,"12118",74,60,59,0,1,"PSOE",14
12,"12058",74,60,59,2,1,"PSOE",4
12,"12068",49,34,34,1,0,"PSOE",7
12,"12142",161,124,123,0,1,"PSOE",23
12,"12034",1430,1078,1053,4,25,"PSOE",325
12,"12004",4204,3174,3130,19,44,"PSOE",662
12,"12031",3830,3049,2987,20,62,"PSOE",497
12,"12105",851,666,659,5,7,"PSOE",114
12,"12077",4625,3443,3387,20,56,"PSOE",811
12,"12110",244,173,170,1,3,"PSOE",72
12,"12135",35749,27015,26806,174,209,"PSOE",5976
12,"12018",293,244,235,2,9,"PSOE",66
12,"12079",405,318,312,4,6,"PSOE",73
12,"12121",1127,955,928,6,27,"PSOE",364
12,"12032",23508,17400,17279,89,121,"PSOE",3474
12,"12010",259,216,209,6,7,"PSOE",64
12,"12103",89,69,68,2,1,"PSOE",6
12,"12095",974,789,784,8,5,"PSOE",254
12,"12078",339,250,247,1,3,"PSOE",55
12,"12063",42,35,34,2,1,"PSOE",10
12,"12053",2069,1691,1677,8,14,"PSOE",476
12,"12119",147,100,100,1,0,"PSOE",19
12,"12141",101,80,80,0,0,"PSOE",14
12,"12111",375,314,310,0,4,"PSOE",96
12,"12134",138,97,96,0,1,"PSOE",31
12,"12059",244,190,189,1,1,"PSOE",51
