"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
38,"38040",5482,3094,3060,14,34,"AHORA CANARIAS",7
35,"35016",300581,181532,179831,1458,1701,"AHORA CANARIAS",375
35,"35031",7456,4938,4868,39,70,"AHORA CANARIAS",13
38,"38018",4466,2867,2821,21,46,"AHORA CANARIAS",4
38,"38901",1466,908,894,4,14,"AHORA CANARIAS",0
35,"35027",10502,6831,6750,67,81,"AHORA CANARIAS",15
35,"35026",83172,48751,48109,449,642,"AHORA CANARIAS",97
38,"38036",6857,4170,4090,37,80,"AHORA CANARIAS",12
38,"38013",3011,1850,1829,14,21,"AHORA CANARIAS",1
38,"38011",21655,13974,13831,106,143,"AHORA CANARIAS",33
38,"38023",126137,79423,78706,605,717,"AHORA CANARIAS",179
35,"35020",5941,3740,3702,27,38,"AHORA CANARIAS",7
38,"38007",1619,1053,1043,3,10,"AHORA CANARIAS",0
38,"38021",1609,900,876,2,24,"AHORA CANARIAS",3
35,"35017",27498,15513,15240,121,273,"AHORA CANARIAS",34
38,"38028",22144,14312,14174,89,138,"AHORA CANARIAS",38
38,"38024",15316,9131,9005,60,126,"AHORA CANARIAS",15
38,"38010",3969,2463,2418,11,45,"AHORA CANARIAS",2
35,"35007",517,347,345,2,2,"AHORA CANARIAS",0
38,"38027",5581,3577,3533,22,44,"AHORA CANARIAS",9
38,"38003",1517,899,890,5,9,"AHORA CANARIAS",0
35,"35019",32830,18390,18243,87,147,"AHORA CANARIAS",39
38,"38044",2215,1270,1257,5,13,"AHORA CANARIAS",0
35,"35009",20229,13378,13201,95,177,"AHORA CANARIAS",30
38,"38052",1283,806,794,3,12,"AHORA CANARIAS",0
35,"35013",6593,4596,4516,47,80,"AHORA CANARIAS",8
35,"35008",6214,4193,4143,33,50,"AHORA CANARIAS",2
35,"35024",14323,8360,8289,81,71,"AHORA CANARIAS",21
38,"38042",3778,2410,2386,11,24,"AHORA CANARIAS",4
38,"38006",41593,20823,20624,127,199,"AHORA CANARIAS",52
35,"35022",51765,29309,29034,184,275,"AHORA CANARIAS",134
38,"38026",33585,24091,23889,170,202,"AHORA CANARIAS",36
38,"38019",13884,7888,7809,49,79,"AHORA CANARIAS",16
35,"35004",41975,20773,20602,156,171,"AHORA CANARIAS",27
38,"38004",4536,2914,2887,28,27,"AHORA CANARIAS",4
35,"35018",13153,7742,7674,80,68,"AHORA CANARIAS",15
38,"38025",7065,4657,4590,34,67,"AHORA CANARIAS",12
35,"35005",1009,680,668,2,12,"AHORA CANARIAS",1
38,"38017",30964,16228,16102,108,126,"AHORA CANARIAS",21
35,"35032",3331,2293,2252,23,41,"AHORA CANARIAS",0
38,"38051",7328,5017,4969,32,48,"AHORA CANARIAS",4
38,"38038",165135,101564,100807,709,757,"AHORA CANARIAS",224
38,"38014",1342,943,930,6,13,"AHORA CANARIAS",1
38,"38030",1962,1332,1318,9,14,"AHORA CANARIAS",2
38,"38037",12817,7582,7494,55,88,"AHORA CANARIAS",7
38,"38048",3952,2543,2519,22,24,"AHORA CANARIAS",3
38,"38008",5699,3719,3669,26,50,"AHORA CANARIAS",6
38,"38053",3768,2275,2244,16,31,"AHORA CANARIAS",3
35,"35002",24229,15311,15133,101,178,"AHORA CANARIAS",60
35,"35028",10156,5483,5425,56,58,"AHORA CANARIAS",8
35,"35003",5644,2987,2943,20,44,"AHORA CANARIAS",7
35,"35023",11742,7787,7651,95,136,"AHORA CANARIAS",25
38,"38033",3593,2277,2242,15,35,"AHORA CANARIAS",3
38,"38032",13579,8941,8880,92,61,"AHORA CANARIAS",10
38,"38009",4315,2846,2817,27,29,"AHORA CANARIAS",4
38,"38035",10518,5870,5819,37,51,"AHORA CANARIAS",10
35,"35015",10752,5289,5222,39,67,"AHORA CANARIAS",16
35,"35014",11962,5994,5888,60,106,"AHORA CANARIAS",10
35,"35025",1752,1113,1095,5,18,"AHORA CANARIAS",0
38,"38047",1755,1132,1110,9,22,"AHORA CANARIAS",1
35,"35012",10862,5617,5568,40,49,"AHORA CANARIAS",20
35,"35033",6393,4147,4072,38,75,"AHORA CANARIAS",7
35,"35001",4566,3148,3105,18,43,"AHORA CANARIAS",7
38,"38043",19365,12355,12212,126,143,"AHORA CANARIAS",26
38,"38001",21069,10844,10777,63,67,"AHORA CANARIAS",15
38,"38020",16057,9921,9809,66,112,"AHORA CANARIAS",20
38,"38041",7025,4729,4684,42,45,"AHORA CANARIAS",6
38,"38005",5646,3302,3283,24,19,"AHORA CANARIAS",20
38,"38016",1174,595,589,2,6,"AHORA CANARIAS",2
38,"38031",29301,20926,20701,157,225,"AHORA CANARIAS",26
35,"35030",10046,5584,5505,44,79,"AHORA CANARIAS",7
38,"38046",9267,6652,6594,55,58,"AHORA CANARIAS",4
38,"38039",11149,7375,7326,68,49,"AHORA CANARIAS",8
38,"38045",3542,1825,1801,7,24,"AHORA CANARIAS",3
38,"38050",2417,1288,1273,9,15,"AHORA CANARIAS",8
35,"35034",8392,3946,3908,27,38,"AHORA CANARIAS",10
35,"35006",31373,20764,20476,189,288,"AHORA CANARIAS",52
35,"35029",4415,2498,2472,29,26,"AHORA CANARIAS",7
38,"38002",971,577,570,8,7,"AHORA CANARIAS",0
38,"38049",2690,1406,1389,27,17,"AHORA CANARIAS",4
38,"38015",4055,2635,2601,16,34,"AHORA CANARIAS",14
35,"35011",24859,15025,14833,149,192,"AHORA CANARIAS",39
38,"38012",2286,1520,1510,8,10,"AHORA CANARIAS",8
35,"35010",3853,2224,2194,18,30,"AHORA CANARIAS",2
38,"38029",1475,752,744,10,8,"AHORA CANARIAS",4
35,"35021",15072,9791,9696,80,95,"AHORA CANARIAS",9
38,"38034",3997,2687,2648,19,39,"AHORA CANARIAS",5
38,"38022",18630,11420,11284,87,136,"AHORA CANARIAS",13
33,"33033",9381,5848,5770,88,78,"ANDECHA",14
33,"33030",876,632,630,8,2,"ANDECHA",1
33,"33055",1485,992,966,14,26,"ANDECHA",0
33,"33073",8096,4377,4320,59,57,"ANDECHA",6
33,"33021",4304,2643,2610,32,33,"ANDECHA",7
33,"33023",3249,2127,2097,30,30,"ANDECHA",0
33,"33038",2218,1501,1477,17,24,"ANDECHA",6
33,"33022",802,460,452,4,8,"ANDECHA",0
33,"33061",344,174,174,1,0,"ANDECHA",1
33,"33054",1601,1025,1010,17,15,"ANDECHA",3
33,"33051",6787,4318,4268,48,50,"ANDECHA",4
33,"33041",7101,4564,4513,58,51,"ANDECHA",6
33,"33019",2844,1702,1680,11,22,"ANDECHA",4
33,"33017",2969,1787,1768,38,19,"ANDECHA",0
33,"33014",8735,5744,5689,67,55,"ANDECHA",9
33,"33070",3267,2211,2185,27,26,"ANDECHA",0
33,"33043",656,408,401,2,7,"ANDECHA",0
33,"33010",1722,1085,1069,15,16,"ANDECHA",0
33,"33035",11214,7359,7303,102,56,"ANDECHA",10
33,"33002",9403,5920,5839,69,81,"ANDECHA",10
33,"33011",10563,5646,5578,92,68,"ANDECHA",3
33,"33076",12115,7519,7456,76,63,"ANDECHA",18
33,"33063",375,269,267,5,2,"ANDECHA",0
33,"33052",681,418,416,3,2,"ANDECHA",2
33,"33001",1475,758,753,15,5,"ANDECHA",0
33,"33028",1143,519,518,7,1,"ANDECHA",0
33,"33068",1031,518,510,5,8,"ANDECHA",0
33,"33016",18848,12845,12737,173,108,"ANDECHA",12
33,"33053",1078,602,599,10,3,"ANDECHA",1
33,"33025",8956,5493,5453,81,40,"ANDECHA",9
33,"33040",4556,2837,2784,58,53,"ANDECHA",5
33,"33050",548,316,314,1,2,"ANDECHA",0
33,"33024",224741,151660,150461,1597,1199,"ANDECHA",253
