"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
38,"38027",5545,3937,3896,22,41,"AHORA CANAR",5
35,"35020",5933,4140,4088,14,52,"AHORA CANAR",9
38,"38011",21563,15380,15214,69,166,"AHORA CANAR",48
38,"38017",30646,18576,18373,100,203,"AHORA CANAR",96
38,"38036",6831,4947,4829,58,118,"AHORA CANAR",19
38,"38028",22035,15684,15522,86,162,"AHORA CANAR",55
38,"38033",3594,2512,2467,11,45,"AHORA CANAR",1
38,"38007",1625,1124,1104,2,20,"AHORA CANAR",3
38,"38019",13758,8870,8776,46,94,"AHORA CANAR",20
38,"38037",12803,8628,8517,48,111,"AHORA CANAR",14
35,"35030",9949,6611,6462,65,149,"AHORA CANAR",12
35,"35014",11908,7101,6947,63,154,"AHORA CANAR",14
35,"35029",4357,2869,2832,32,37,"AHORA CANAR",6
35,"35032",3348,2585,2542,20,43,"AHORA CANAR",2
38,"38053",3763,2628,2588,21,40,"AHORA CANAR",5
38,"38049",2683,1781,1743,18,38,"AHORA CANAR",5
35,"35005",1017,751,743,1,8,"AHORA CANAR",1
38,"38005",5666,3795,3761,24,34,"AHORA CANAR",28
35,"35003",5582,3441,3391,26,50,"AHORA CANAR",5
38,"38010",3974,2814,2777,20,37,"AHORA CANAR",5
38,"38003",1510,1058,1047,4,11,"AHORA CANAR",0
38,"38022",18629,12903,12759,84,144,"AHORA CANAR",33
38,"38038",164468,112475,111577,728,898,"AHORA CANAR",414
38,"38047",1756,1276,1259,6,17,"AHORA CANAR",1
35,"35024",14243,9496,9394,65,102,"AHORA CANAR",23
35,"35008",6207,4733,4654,42,79,"AHORA CANAR",6
38,"38016",1178,654,648,6,6,"AHORA CANAR",4
35,"35026",82764,55647,54846,499,801,"AHORA CANAR",108
35,"35033",6403,4565,4502,34,63,"AHORA CANAR",10
35,"35034",8396,4599,4546,55,53,"AHORA CANAR",5
38,"38041",6970,5288,5258,38,30,"AHORA CANAR",12
35,"35019",32841,21136,20850,125,286,"AHORA CANAR",32
38,"38029",1493,839,823,5,16,"AHORA CANAR",2
35,"35006",31309,23434,23019,221,415,"AHORA CANAR",61
35,"35012",10765,6327,6270,32,57,"AHORA CANAR",9
35,"35009",20109,15017,14803,78,214,"AHORA CANAR",21
38,"38032",13536,9924,9867,63,57,"AHORA CANAR",29
38,"38021",1599,1079,1057,8,22,"AHORA CANAR",1
35,"35001",4571,3523,3463,8,60,"AHORA CANAR",5
38,"38006",41302,23632,23415,133,217,"AHORA CANAR",133
38,"38004",4490,3242,3202,18,40,"AHORA CANAR",6
38,"38025",7088,5166,5089,39,77,"AHORA CANAR",19
35,"35002",24129,16979,16736,116,243,"AHORA CANAR",48
35,"35022",51302,33009,32566,198,443,"AHORA CANAR",206
38,"38030",1945,1430,1420,6,10,"AHORA CANAR",3
35,"35027",10499,7651,7530,57,121,"AHORA CANAR",12
35,"35016",300503,203470,201240,1598,2230,"AHORA CANAR",427
38,"38031",29154,22871,22598,143,273,"AHORA CANAR",59
38,"38045",3549,2149,2109,6,40,"AHORA CANAR",3
38,"38008",5658,4126,4056,19,70,"AHORA CANAR",3
38,"38015",4067,2951,2926,22,25,"AHORA CANAR",26
35,"35011",24705,17099,16823,129,276,"AHORA CANAR",35
38,"38050",2436,1564,1529,12,35,"AHORA CANAR",7
38,"38048",3957,2889,2842,12,47,"AHORA CANAR",3
38,"38012",2310,1705,1687,6,18,"AHORA CANAR",13
38,"38002",972,678,640,3,38,"AHORA CANAR",1
35,"35031",7412,5593,5519,41,74,"AHORA CANAR",12
35,"35015",10728,6233,6108,54,125,"AHORA CANAR",24
38,"38046",9271,7297,7212,53,85,"AHORA CANAR",31
35,"35021",15014,10909,10792,71,117,"AHORA CANAR",18
35,"35028",10044,6188,6105,52,83,"AHORA CANAR",6
35,"35023",11694,8785,8607,67,178,"AHORA CANAR",11
35,"35010",3797,2601,2572,9,29,"AHORA CANAR",9
38,"38901",1456,1024,1010,9,14,"AHORA CANAR",1
38,"38040",5446,3513,3462,13,51,"AHORA CANAR",5
38,"38018",4455,3242,3198,24,44,"AHORA CANAR",7
38,"38052",1280,893,887,4,6,"AHORA CANAR",1
38,"38039",11112,8233,8161,54,72,"AHORA CANAR",13
38,"38035",10384,6657,6596,50,61,"AHORA CANAR",17
38,"38023",125528,88323,87456,598,867,"AHORA CANAR",381
38,"38009",4299,3105,3069,16,36,"AHORA CANAR",6
35,"35004",41728,23957,23683,219,274,"AHORA CANAR",62
38,"38051",7326,5418,5352,27,66,"AHORA CANAR",14
35,"35018",13056,8699,8618,73,81,"AHORA CANAR",18
35,"35025",1773,1247,1235,9,12,"AHORA CANAR",1
38,"38044",2199,1443,1429,10,14,"AHORA CANAR",1
38,"38042",3781,2799,2774,11,25,"AHORA CANAR",6
38,"38024",15310,10234,10088,82,146,"AHORA CANAR",12
38,"38026",33514,26298,26076,191,222,"AHORA CANAR",65
35,"35013",6584,5067,4974,49,93,"AHORA CANAR",3
38,"38043",19265,14000,13856,115,144,"AHORA CANAR",57
35,"35017",27216,17531,17102,133,429,"AHORA CANAR",36
35,"35007",518,405,401,0,4,"AHORA CANAR",0
38,"38020",15899,11057,10924,90,133,"AHORA CANAR",36
38,"38013",3019,2023,1991,12,32,"AHORA CANAR",3
38,"38034",3998,3033,2993,19,40,"AHORA CANAR",6
38,"38001",20907,12323,12197,70,126,"AHORA CANAR",27
38,"38014",1341,991,981,6,10,"AHORA CANAR",4
33,"33010",1724,1211,1202,15,9,"ANDECHA AST",0
33,"33060",14132,9960,9794,135,166,"ANDECHA AST",17
33,"33077",1118,772,761,4,11,"ANDECHA AST",0
33,"33006",1480,1001,992,9,9,"ANDECHA AST",5
33,"33013",429,320,316,1,4,"ANDECHA AST",0
33,"33008",1705,1285,1273,9,12,"ANDECHA AST",1
33,"33073",8186,5090,5023,65,67,"ANDECHA AST",4
33,"33027",769,505,497,14,8,"ANDECHA AST",1
33,"33062",388,250,245,9,5,"ANDECHA AST",0
33,"33036",11335,8356,8243,92,113,"ANDECHA AST",12
33,"33076",12147,8532,8452,104,80,"ANDECHA AST",10
33,"33002",9474,6779,6662,74,117,"ANDECHA AST",19
33,"33046",483,370,367,6,3,"ANDECHA AST",1
33,"33029",323,172,170,2,2,"ANDECHA AST",0
33,"33007",1398,960,951,9,9,"ANDECHA AST",0
33,"33066",42882,30942,30529,401,413,"ANDECHA AST",64
33,"33020",13000,9476,9338,108,138,"ANDECHA AST",16
33,"33067",747,608,596,9,12,"ANDECHA AST",1
33,"33018",2819,2072,2044,28,28,"ANDECHA AST",3
33,"33072",1455,973,963,14,10,"ANDECHA AST",0
33,"33035",11226,8326,8252,112,74,"ANDECHA AST",5
33,"33050",558,381,375,2,6,"ANDECHA AST",0
33,"33025",8996,6369,6309,81,60,"ANDECHA AST",5
33,"33051",6811,4879,4809,63,70,"ANDECHA AST",1
33,"33001",1504,875,864,15,11,"ANDECHA AST",2
33,"33015",1428,1003,993,7,10,"ANDECHA AST",0
