"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
24,"24132",615,379,375,1,4,"ALCD",0
47,"47217",1910,1370,1366,1,4,"ALCD",0
47,"47176",219,139,139,1,0,"ALCD",0
47,"47038",105,77,77,0,0,"ALCD",1
24,"24157",2568,1943,1911,22,32,"ALCD",1
24,"24018",174,143,141,0,2,"ALCD",0
47,"47091",84,71,71,2,0,"ALCD",0
47,"47175",6564,4781,4728,39,53,"ALCD",2
24,"24158",320,207,203,2,4,"ALCD",0
24,"24224",616,454,451,4,3,"ALCD",1
24,"24031",215,172,168,0,4,"ALCD",0
24,"24215",152,113,113,0,0,"ALCD",0
47,"47069",124,105,104,1,1,"ALCD",0
47,"47152",78,60,60,0,0,"ALCD",0
24,"24029",735,539,535,3,4,"ALCD",0
47,"47215",53,45,45,0,0,"ALCD",0
24,"24063",374,254,252,2,2,"ALCD",0
24,"24004",463,350,348,4,2,"ALCD",0
24,"24053",442,286,280,1,6,"ALCD",0
47,"47143",118,91,90,0,1,"ALCD",0
47,"47178",172,140,140,3,0,"ALCD",0
47,"47062",163,130,130,0,0,"ALCD",0
24,"24099",171,132,132,0,0,"ALCD",0
47,"47232",102,77,74,1,3,"ALCD",0
24,"24095",320,234,232,0,2,"ALCD",0
24,"24131",724,511,507,3,4,"ALCD",1
47,"47090",2418,1728,1699,8,29,"ALCD",0
24,"24079",906,664,658,9,6,"ALCD",0
47,"47191",108,79,79,0,0,"ALCD",0
24,"24091",645,454,451,1,3,"ALCD",0
47,"47222",83,64,64,1,0,"ALCD",0
47,"47084",1150,887,870,7,17,"ALCD",0
47,"47061",256,212,211,2,1,"ALCD",0
47,"47115",281,236,233,3,3,"ALCD",0
24,"24069",41,35,35,0,0,"ALCD",0
47,"47197",876,673,668,8,5,"ALCD",0
24,"24202",8008,5367,5276,53,91,"ALCD",0
47,"47125",58,46,46,0,0,"ALCD",0
24,"24040",449,329,325,2,4,"ALCD",0
24,"24191",108,79,79,0,0,"ALCD",0
24,"24219",516,387,386,4,1,"ALCD",0
47,"47087",381,301,297,3,4,"ALCD",0
47,"47100",138,117,117,1,0,"ALCD",0
24,"24025",297,228,227,0,1,"ALCD",0
24,"24174",486,343,342,4,1,"ALCD",0
24,"24066",494,368,366,4,2,"ALCD",0
47,"47145",603,448,441,3,7,"ALCD",0
24,"24023",263,188,188,1,0,"ALCD",0
24,"24137",1099,783,778,7,5,"ALCD",0
47,"47209",41,34,34,0,0,"ALCD",0
47,"47026",46,40,40,1,0,"ALCD",0
24,"24161",285,203,201,3,2,"ALCD",0
47,"47203",62,53,53,1,0,"ALCD",0
24,"24011",203,133,132,0,1,"ALCD",0
47,"47099",150,135,135,1,0,"ALCD",0
24,"24110",1247,899,892,6,7,"ALCD",0
47,"47156",162,136,133,0,3,"ALCD",0
47,"47188",111,88,88,3,0,"ALCD",0
47,"47015",200,162,160,0,2,"ALCD",0
47,"47181",165,135,132,3,3,"ALCD",0
47,"47082",812,640,628,8,12,"ALCD",1
47,"47216",115,91,87,0,4,"ALCD",0
47,"47097",325,266,265,0,1,"ALCD",1
24,"24059",880,536,535,4,1,"ALCD",0
24,"24032",109,91,89,0,2,"ALCD",0
47,"47163",290,230,228,3,2,"ALCD",0
24,"24030",4277,3038,3007,11,31,"ALCD",1
24,"24182",416,294,290,2,4,"ALCD",1
24,"24102",652,470,467,2,3,"ALCD",0
24,"24007",773,550,548,4,2,"ALCD",0
24,"24152",464,295,291,1,4,"ALCD",0
47,"47081",45,36,35,1,1,"ALCD",0
47,"47204",256,204,198,0,6,"ALCD",0
24,"24020",456,314,307,4,7,"ALCD",0
47,"47221",111,94,94,0,0,"ALCD",0
47,"47043",297,239,237,0,2,"ALCD",0
47,"47142",141,99,97,0,2,"ALCD",0
