"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
38,"38049",2794,1721,1694,12,27,"ANC",1
38,"38053",3752,2459,2397,28,62,"ANC",3
35,"35026",78933,49860,48955,780,905,"ANC",100
38,"38043",18628,12966,12763,134,203,"ANC",57
35,"35006",29515,20731,20286,362,445,"ANC",32
38,"38020",14520,9396,9202,121,194,"ANC",22
35,"35014",9943,5438,5316,95,122,"ANC",7
35,"35009",19678,13799,13442,155,357,"ANC",21
38,"38050",2516,1765,1734,9,31,"ANC",6
38,"38033",3987,2696,2656,23,40,"ANC",2
38,"38031",28391,21797,21431,234,366,"ANC",85
38,"38030",1875,1320,1301,11,19,"ANC",2
38,"38018",4397,3216,3163,27,53,"ANC",10
35,"35001",4663,3639,3569,39,70,"ANC",10
38,"38052",1344,886,872,5,14,"ANC",3
38,"38038",161890,99555,97980,1101,1575,"ANC",598
35,"35024",12420,6978,6819,131,159,"ANC",16
38,"38048",3884,2615,2587,34,28,"ANC",6
35,"35033",6415,4394,4302,51,92,"ANC",8
35,"35016",291589,181013,177964,2856,3049,"ANC",372
38,"38024",14851,9589,9399,93,190,"ANC",14
38,"38008",5430,3844,3772,46,72,"ANC",0
35,"35028",8810,4687,4603,71,84,"ANC",9
38,"38042",3876,2850,2809,24,41,"ANC",9
35,"35013",6779,5059,4961,105,98,"ANC",8
38,"38011",19299,12565,12313,152,252,"ANC",67
38,"38016",1250,664,646,3,18,"ANC",0
35,"35027",10510,7523,7375,88,148,"ANC",26
35,"35018",11652,6488,6367,107,121,"ANC",18
38,"38027",5392,3530,3459,41,71,"ANC",14
38,"38035",8172,4990,4919,62,71,"ANC",30
38,"38002",991,716,708,1,8,"ANC",0
38,"38029",1456,732,715,4,17,"ANC",2
38,"38013",2823,1856,1843,18,13,"ANC",3
38,"38026",32174,24822,24431,283,391,"ANC",129
38,"38012",2535,1735,1716,11,19,"ANC",42
38,"38009",3910,2687,2633,31,54,"ANC",2
38,"38040",4697,3007,2962,31,45,"ANC",5
38,"38015",4326,3132,3099,21,33,"ANC",21
35,"35030",8295,5433,5315,54,118,"ANC",4
38,"38034",4092,3034,2983,30,51,"ANC",6
35,"35004",35462,18498,18196,325,302,"ANC",49
35,"35002",21673,14480,14253,172,227,"ANC",38
35,"35034",6372,2951,2921,33,30,"ANC",26
38,"38004",4522,3034,2975,33,59,"ANC",11
38,"38001",17632,9601,9475,121,126,"ANC",35
38,"38046",8848,6410,6301,75,109,"ANC",24
38,"38021",1792,1184,1160,6,24,"ANC",4
38,"38007",1844,1209,1188,5,21,"ANC",1
35,"35005",1170,864,853,7,11,"ANC",2
38,"38051",7081,5298,5229,64,69,"ANC",17
35,"35008",6151,4514,4419,59,95,"ANC",13
38,"38032",13032,8487,8357,101,130,"ANC",25
38,"38023",118865,76393,75039,928,1354,"ANC",466
35,"35022",43892,27289,26876,326,413,"ANC",46
38,"38044",2325,1550,1532,7,18,"ANC",1
38,"38045",4181,2176,2140,13,36,"ANC",3
38,"38022",18671,13075,12890,111,185,"ANC",36
38,"38037",13166,8509,8332,65,177,"ANC",12
35,"35003",4764,2733,2680,34,53,"ANC",4
35,"35021",14982,9948,9749,138,199,"ANC",19
38,"38019",12624,8174,8099,65,75,"ANC",17
35,"35025",1941,1345,1328,12,17,"ANC",2
38,"38006",35862,18726,18500,209,226,"ANC",118
38,"38039",10198,7548,7429,78,119,"ANC",24
38,"38003",1446,1053,1044,4,9,"ANC",4
35,"35032",3432,2605,2548,37,57,"ANC",6
38,"38028",22003,14876,14589,158,287,"ANC",67
38,"38041",6780,4905,4813,57,92,"ANC",15
35,"35015",9065,4859,4770,64,89,"ANC",5
35,"35023",11640,8412,8178,97,234,"ANC",14
31,"31242",235,157,157,2,0,"AMAIUR",31
31,"31221",1182,774,767,12,7,"AMAIUR",238
31,"31016",7377,5149,5072,101,77,"AMAIUR",1004
31,"31001",88,58,58,1,0,"AMAIUR",13
31,"31229",46,38,37,0,1,"AMAIUR",8
48,"48048",547,423,423,5,0,"AMAIUR",187
48,"48903",1909,1455,1430,4,25,"AMAIUR",226
48,"48018",905,591,587,8,4,"AMAIUR",325
20,"20013",5331,3662,3637,33,25,"AMAIUR",1732
48,"48066",350,277,277,0,0,"AMAIUR",91
31,"31139",172,97,97,1,0,"AMAIUR",10
48,"48026",1093,881,875,3,6,"AMAIUR",484
1,"1042",915,678,661,1,17,"AMAIUR",275
31,"31196",40,35,35,1,0,"AMAIUR",13
1,"1016",461,241,237,2,4,"AMAIUR",57
20,"20073",4689,3196,3176,28,20,"AMAIUR",1872
31,"31249",1926,1376,1361,30,15,"AMAIUR",22
1,"1013",711,477,474,1,3,"AMAIUR",183
31,"31059",204,140,139,3,1,"AMAIUR",42
31,"31210",219,169,167,3,2,"AMAIUR",37
20,"20012",149,97,97,0,0,"AMAIUR",59
31,"31119",49,28,28,0,0,"AMAIUR",2
1,"1032",536,412,400,0,12,"AMAIUR",49
31,"31129",405,285,281,1,4,"AMAIUR",165
48,"48071",6097,4307,4224,61,83,"AMAIUR",839
48,"48052",1526,1213,1205,7,8,"AMAIUR",627
31,"31015",1989,1404,1380,29,24,"AMAIUR",71
31,"31028",217,129,128,1,1,"AMAIUR",50
48,"48005",93,65,64,0,1,"AMAIUR",24
48,"48084",23491,15322,15084,213,238,"AMAIUR",1950
31,"31011",688,437,432,17,5,"AMAIUR",59
20,"20065",3176,2156,2137,19,19,"AMAIUR",865
20,"20025",1174,814,803,4,11,"AMAIUR",471
48,"48906",796,625,622,5,3,"AMAIUR",287
31,"31012",839,577,570,10,7,"AMAIUR",50
31,"31102",162,80,78,0,2,"AMAIUR",37
48,"48003",14142,10268,10167,84,101,"AMAIUR",3108
48,"48073",7090,4865,4802,37,63,"AMAIUR",2678
31,"31159",1158,864,846,17,18,"AMAIUR",191
20,"20061",4011,2666,2653,23,13,"AMAIUR",1129
31,"31109",1365,946,934,11,12,"AMAIUR",178
1,"1002",8057,5854,5757,48,97,"AMAIUR",1689
31,"31140",117,91,89,3,2,"AMAIUR",15
48,"48097",1359,936,915,9,21,"AMAIUR",257
20,"20010",1392,949,941,8,8,"AMAIUR",520
48,"48032",5864,4257,4223,32,34,"AMAIUR",1795
31,"31225",40,32,32,0,0,"AMAIUR",1
1,"1030",170,123,120,1,3,"AMAIUR",13
31,"31180",240,174,170,5,4,"AMAIUR",17
31,"31167",859,600,593,11,7,"AMAIUR",92
48,"48056",849,610,608,3,2,"AMAIUR",204
31,"31259",503,341,336,6,5,"AMAIUR",145
31,"31907",9914,7394,7282,198,112,"AMAIUR",1048
1,"1022",826,615,602,6,13,"AMAIUR",54
1,"1047",942,674,655,4,19,"AMAIUR",44
48,"48007",354,254,253,1,1,"AMAIUR",132
48,"48095",2367,1593,1577,20,16,"AMAIUR",513
31,"31010",5788,3716,3637,48,79,"AMAIUR",1045
20,"20001",249,167,167,4,0,"AMAIUR",99
1,"1018",1395,952,943,7,9,"AMAIUR",329
31,"31147",103,81,80,3,1,"AMAIUR",5
31,"31115",171,112,109,2,3,"AMAIUR",35
31,"31024",116,56,56,2,0,"AMAIUR",41
31,"31055",264,194,193,0,1,"AMAIUR",88
20,"20008",757,499,499,8,0,"AMAIUR",351
48,"48089",2878,2120,2089,19,31,"AMAIUR",618
31,"31041",1397,938,913,26,25,"AMAIUR",133
48,"48059",397,289,286,0,3,"AMAIUR",139
31,"31192",148,107,104,1,3,"AMAIUR",23
20,"20067",31173,20218,20017,270,201,"AMAIUR",6419
48,"48009",767,585,580,4,5,"AMAIUR",250
31,"31231",127,93,91,1,2,"AMAIUR",2
20,"20066",467,316,316,0,0,"AMAIUR",244
31,"31132",160,124,124,6,0,"AMAIUR",40
31,"31086",11499,8520,8389,214,131,"AMAIUR",1143
31,"31239",302,229,224,7,5,"AMAIUR",52
31,"31066",915,660,647,19,13,"AMAIUR",21
31,"31106",676,534,518,10,16,"AMAIUR",11
1,"1053",590,341,333,4,8,"AMAIUR",129
31,"31082",634,402,398,10,4,"AMAIUR",210
31,"31224",980,691,681,9,10,"AMAIUR",24
31,"31091",365,227,224,3,3,"AMAIUR",127
31,"31051",270,182,181,8,1,"AMAIUR",22
31,"31169",2285,1621,1590,43,31,"AMAIUR",19
1,"1008",781,566,546,7,20,"AMAIUR",119
20,"20076",6978,4823,4762,38,61,"AMAIUR",1949
20,"20902",14148,9874,9798,120,76,"AMAIUR",2446
31,"31007",137,96,90,2,6,"AMAIUR",11
48,"48025",882,652,644,2,8,"AMAIUR",274
31,"31098",1762,1285,1262,34,23,"AMAIUR",255
48,"48080",10161,6901,6815,95,86,"AMAIUR",1084
1,"1027",430,283,276,4,7,"AMAIUR",78
1,"1054",959,680,675,8,5,"AMAIUR",285
31,"31152",1406,1003,975,23,28,"AMAIUR",60
20,"20045",46542,30907,30536,425,371,"AMAIUR",5145
48,"48023",601,499,492,4,7,"AMAIUR",220
1,"1010",2276,1649,1618,27,31,"AMAIUR",526
31,"31256",113,64,64,0,0,"AMAIUR",30
48,"48063",355,287,287,6,0,"AMAIUR",143
48,"48053",856,683,680,8,3,"AMAIUR",132
48,"48081",1938,1449,1435,14,14,"AMAIUR",414
48,"48082",38551,25768,25482,316,286,"AMAIUR",3715
48,"48060",3689,2477,2466,12,11,"AMAIUR",1164
31,"31137",215,108,106,1,2,"AMAIUR",39
20,"20049",4081,2741,2723,30,18,"AMAIUR",1313
20,"20077",5382,3766,3741,42,25,"AMAIUR",1275
20,"20040",15103,9781,9686,148,95,"AMAIUR",4747
48,"48038",1087,826,821,7,5,"AMAIUR",308
20,"20036",12731,8519,8431,131,88,"AMAIUR",2394
20,"20079",17229,12010,11927,143,83,"AMAIUR",4475
31,"31071",17,15,15,0,0,"AMAIUR",0
1,"1059",183468,127839,125801,1422,2038,"AMAIUR",20836
1,"1902",776,532,526,6,6,"AMAIUR",67
20,"20033",884,650,641,4,9,"AMAIUR",377
20,"20028",2204,1400,1379,11,21,"AMAIUR",728
31,"31092",676,447,446,6,1,"AMAIUR",115
48,"48051",225,157,156,0,1,"AMAIUR",18
31,"31113",147,87,85,2,2,"AMAIUR",12
20,"20004",254,153,153,5,0,"AMAIUR",72
48,"48077",3398,2490,2477,33,13,"AMAIUR",610
31,"31020",488,247,246,0,1,"AMAIUR",177
31,"31183",667,516,508,8,8,"AMAIUR",66
48,"48072",1009,796,787,3,9,"AMAIUR",433
31,"31193",1312,969,948,33,21,"AMAIUR",211
48,"48036",23973,16491,16344,179,147,"AMAIUR",3621
31,"31052",89,62,58,1,4,"AMAIUR",4
31,"31245",87,59,58,5,1,"AMAIUR",9
48,"48085",9893,6960,6885,93,75,"AMAIUR",2006
31,"31184",66,60,59,0,1,"AMAIUR",18
31,"31002",421,292,284,5,8,"AMAIUR",41
31,"31213",114,58,58,0,0,"AMAIUR",26
