"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
3026,0,1,1,0,0,1,1,0
3027,1,1,0,0,1,1,0,0
3028,0,1,1,0,0,0,0,0
3029,1,1,0,0,1,1,0,0
3030,1,1,0,0,1,1,0,0
3031,0,0,0,0,0,0,0,0
3032,0,0,0,0,0,0,0,0
3033,0,0,0,0,0,0,0,0
3034,0,0,0,0,0,0,0,0
3035,1,1,0,0,0,1,1,0
3036,0,0,0,0,0,0,0,0
3037,1,1,0,0,1,1,0,0
3038,1,1,0,0,1,1,0,0
3039,1,0,0,0,1,0,0,0
3040,0,0,0,0,0,0,0,0
3041,0,0,0,0,0,0,0,0
3042,0,0,0,1,0,0,0,0
3043,1,0,0,0,1,0,0,0
3044,0,0,0,0,0,0,0,0
3045,1,0,0,0,1,0,0,0
3046,0,0,0,0,0,0,0,0
3047,0,0,0,0,0,0,0,0
3048,1,0,0,0,0,0,0,0
3049,1,0,0,0,1,0,0,0
3050,1,0,0,0,0,0,0,0
3051,0,0,0,0,0,0,0,0
3052,0,0,0,0,0,0,0,0
3053,0,0,0,0,0,0,0,0
3054,0,0,0,0,0,0,0,0
3055,0,1,1,0,0,1,1,0
3056,1,1,0,0,1,1,0,0
3057,0,0,0,0,0,0,0,0
3058,0,0,0,1,0,0,0,1
3059,0,1,1,0,0,0,0,0
3060,0,1,1,0,0,0,0,0
3061,0,0,0,0,0,0,0,0
3062,0,0,0,0,0,0,0,0
3063,1,1,0,0,1,1,0,0
3064,1,1,0,0,1,1,0,0
3065,1,1,0,0,1,1,0,0
3066,1,1,0,0,1,1,0,0
3067,0,1,1,0,0,1,1,0
3068,0,0,0,0,0,0,0,0
3069,0,0,0,0,0,0,0,0
3070,0,0,0,0,0,0,0,0
3071,1,1,0,0,0,0,0,0
3072,1,1,0,0,0,0,0,0
3073,1,1,0,0,1,1,0,0
3074,0,0,0,0,0,0,0,0
3075,0,0,0,0,0,0,0,0
3076,1,1,0,0,1,1,0,0
3077,1,0,0,0,1,0,0,0
3078,0,0,0,0,0,0,0,0
3079,0,0,0,0,0,0,0,0
3080,1,1,0,0,1,1,0,0
3081,1,1,0,0,0,0,0,0
3082,1,1,0,0,1,1,0,0
3083,1,1,0,0,1,1,0,0
3084,0,0,0,0,0,0,0,0
3085,0,0,0,0,0,0,0,0
3086,1,1,0,0,1,1,0,0
3088,1,1,0,0,1,0,0,0
3089,1,1,0,0,1,1,0,0
3090,0,0,0,0,0,0,0,0
3091,0,0,0,0,0,0,0,0
3092,1,0,0,0,1,0,0,0
3093,1,1,0,0,1,1,0,0
3094,0,0,0,0,0,0,0,0
3095,1,1,0,0,0,1,1,1
3096,1,1,0,0,1,1,0,0
3097,1,1,0,0,0,0,0,0
3098,1,1,0,0,1,1,0,0
3099,0,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0
3101,1,1,0,0,0,0,0,0
3102,1,1,0,0,1,1,0,0
3103,0,1,1,0,0,1,1,0
3104,1,1,0,0,1,1,0,0
3105,1,1,0,0,1,1,0,0
3106,0,0,0,0,0,0,0,0
3107,1,1,0,0,1,1,0,0
3109,1,1,0,0,1,1,0,0
3110,1,1,0,0,0,0,0,0
3111,0,0,0,0,0,0,0,0
3112,0,0,0,0,0,0,0,0
3113,1,1,0,0,1,1,0,0
3114,1,1,0,0,1,1,0,0
3115,0,0,0,0,0,0,0,0
3116,0,0,0,0,0,0,0,0
3117,0,0,0,0,0,0,0,0
3118,0,1,1,0,0,1,1,0
3119,1,1,0,0,1,1,0,0
3120,0,1,1,0,0,1,1,0
3121,1,0,0,0,1,0,0,0
3122,1,1,0,0,1,1,0,0
3123,0,0,0,1,0,0,0,1
3124,0,0,0,0,0,0,0,0
3125,1,1,0,0,0,0,0,0
3127,0,0,0,1,0,0,0,1
3128,0,1,1,0,0,0,0,0
3129,0,1,1,0,0,1,1,0
3130,0,0,0,0,0,0,0,0
3131,0,0,0,0,0,0,0,0
3132,0,0,0,0,0,0,0,0
3133,0,0,0,0,0,0,0,0
3134,1,1,0,0,1,1,0,0
3135,1,1,0,0,1,1,0,0
3136,0,0,0,0,0,0,0,0
3137,0,1,1,0,0,0,0,0
3138,1,1,0,0,1,1,0,0
3139,1,1,0,0,1,1,0,0
3140,0,1,1,0,0,1,1,0
3901,1,1,0,0,0,1,1,0
3902,1,0,0,0,1,0,0,0
3903,1,1,0,0,1,1,0,0
3904,1,1,0,0,1,1,0,0
4001,1,0,0,0,1,0,0,0
4002,0,1,1,0,0,1,1,0
4003,0,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0,0
4005,0,0,0,0,0,0,0,0
4006,1,0,0,0,1,0,0,0
4007,1,0,0,0,1,0,0,0
4008,0,0,0,0,0,0,0,0
4009,0,0,0,0,0,0,0,0
4010,1,1,0,0,1,1,0,0
4011,0,0,0,0,0,0,0,0
4012,1,1,0,0,1,1,0,0
4013,0,0,0,0,0,0,0,0
4014,1,1,0,0,1,1,0,0
4015,1,1,0,0,1,1,0,0
4016,0,1,1,0,0,1,1,0
4017,1,1,0,0,1,1,0,0
4018,1,1,0,0,1,1,0,0
4019,1,1,0,0,1,1,0,0
4020,1,1,0,0,1,1,0,0
4021,1,0,0,0,1,0,0,0
4022,1,1,0,0,1,1,0,0
4023,0,0,0,0,0,0,0,0
4024,1,0,0,0,1,0,0,0
4026,0,0,0,0,0,0,0,0
4027,0,0,0,0,0,0,0,0
