"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","AREA","DISTR","SECCION","ENTREV","P1","P2","P3","P401","P402","P403","P404","P501","P502","P601","P602","P6A","P701","P702","P801","P802","P9","P10","P10A","P11","P11A","P12","P12A","P1301","P1302","P1303","P1304","P1305","P1306","P13A","P1401","P14A01","P1402","P14A02","P1403","P14A03","P15.P17","P18","P18A","P1901","P1902","P1903","P1904","P1905","P2001.P22","P23","P23A","P23B","P23C","P24","P24A","P2501","P2502","P2503","P2504","P2505","P2506","P26","P26A","P27","P27A","P28","P29","P29A","P30.P35","P36.P38","P38A","P39","P40","P40A","P41","P42.P48","P49","P50","P51","P52","P53","P54","P55.P55A.P56","P56A","P57","P58.P58A","P59","P60","P61.P61A","P62","P63","P6401","P6402","P6403","P6404","P6501","P6502","P6503","P6504","P6505","P66","P67","P68","P69","P7001","P7002","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","FINAL","PESO","RECUERDO","OCUPAPAD","ESTUDIOS","OCUPA","CONDICION","ESTATUS"
2760,1752,13,28,79,7,0,0,0,0,1,4,1,4,1,4,5,8,13,5,4,11,1,4,99,7,2,32,33,3,1,1,9,NA,NA,NA,NA,NA,NA,NA,6,1,NA,0,NA,0,31132312,1,1,1,1,1,1,3,222221122223131328,1,6,3,1,1,1,1,1,1,1,1,1,4,4,1,NA,2,22,0,1342313313111333120,111,1,2,1,3,3," 1 1 1 0 0 0 0",1,724,23,4,2,65,103,1,0,30,2,911,25,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,4,NA,13,2,1,2,NA,NA,NA,8,5,8,4,30,3,1,NA,1,NA,NA,1,8,"1,5004",1,7,1,9,8,NA
2760,1753,13,28,79,7,0,0,0,0,1,4,1,5,1,4,5,15,17,2,3,5,1,7,5,2,2,28,28,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,8,1,NA,0,31133113,1,1,1,1,1,1,3,2222223131312,1,9,5,3,1,1,1,1,1,1,1,1,1,1,3,NA,0,29,0,1121313321311332224,825,0,1,5,0,5," 8 1 5 0 0 0 0",3,711,28,4,2,34,103,3,0,40,1,911,40,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,5,NA,12,NA,2,NA,NA,NA,3,8,5,8,4,30,3,1,NA,1,NA,NA,1,8,"1,5004",8,7,2,9,3,NA
2760,1754,13,28,79,7,0,0,0,0,1,1,3,1,1,1,1,4,10,1,4,1,1,99,4,99,2,28,28,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,6,1,31331232,2,0,1,1,1,1,3,111111122211131216,1,3,1,3,1,1,1,1,3,1,1,3,4,1,4,NA,0,21,8,1421133833131212032,111,3,26,1,3,1," 2 4 5 0 0 0 0",4,723,28,4,1,51,313,10,0,30,1,251,40,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,6,NA,22,4,5,3,NA,NA,5,8,5,8,4,30,3,1,NA,1,NA,NA,1,8,"1,5004",3,7,6,2,1,NA
2760,1755,13,28,79,7,0,0,0,0,1,3,4,1,1,4,5,10,15,4,2,12,7,9,7,1,3,28,28,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,97,0,0,0,0,0,81132131,3,0,1,1,1,1,3,999991199991111168,1,3,5,3,2,2,1,1,1,1,3,1,1,1,1,NA,1,21,1,1433132233131332096,111,2,3,1,2,5," 5 7 2 0 0 0 0",3,201,28,4,1,64,103,9,0,30,1,112,13,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,7,NA,7,1,3,1,1,NA,2,13,5,8,2,30,3,1,NA,1,NA,NA,1,8,"1,5004",2,2,6,1,1,NA
2760,1756,13,28,79,7,0,0,0,0,1,4,4,5,1,4,5,15,19,3,2,5,4,7,7,4,3,9,9,1,1,4,4,NA,NA,NA,NA,NA,1,NA,97,0,0,0,0,0,33312323,3,0,1,1,1,1,1,222221122223211104,2,0,0,0,8,8,3,2,2,3,2,1,1,1,4,NA,0,32,0,1451212121211333376,111,1,99,5,0,5," 5 3 3 0 0 0 0",2,970,28,4,1,81,103,1,6,11,2,752,13,27,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,9,NA,9,2,1,NA,1,NA,2,13,5,8,2,30,3,1,NA,1,NA,NA,1,8,"1,5004",1,9,1,7,8,NA
2760,1757,13,28,79,7,0,0,0,0,1,3,4,1,1,5,1,99,NA,9,9,0,99,99,99,99,4,28,28,4,4,4,4,NA,NA,NA,NA,NA,1,NA,97,0,0,0,0,0,81333318,1,2,1,1,9,9,9,222222222229118816,1,1,5,1,1,1,8,1,9,9,9,9,4,4,4,NA,0,31,1,1693111339121223424,211,11,99,1,98,99,"989999 0 0 0 0",2,812,28,4,1,70,103,6,5,11,2,802,13,27,1,NA,NA,NA,1,7,19,21,15,22,NA,3,2,NA,NA,NA,8,NA,48,25,2,NA,21,NA,2,28,4,8,1,21,2,1,NA,1,NA,NA,1,8,"1,5004",5,8,4,8,8,NA
2760,1758,13,28,79,7,0,0,0,0,1,4,4,3,1,5,5,98,NA,9,9,0,98,98,98,98,4,95,95,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,81838888,3,0,1,1,1,1,1,222222222228811808,1,2,8,4,1,1,3,9,3,1,3,1,4,7,4,NA,0,31,1,1151318111811333376,125,0,99,5,0,99,"99 6 8 0 0 0 0",1,600,95,4,2,63,423,2,10,13,3,861,40,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,7,NA,2,1,1,1,5,NA,NA,28,4,8,1,21,3,2,1,1,NA,NA,1,8,"1,5004",8,6,2,8,8,NA
2760,1759,13,28,79,7,0,0,0,0,1,2,1,3,1,5,5,8,12,4,5,16,8,2,7,4,3,5,5,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,97,0,0,0,0,0,32233233,2,0,1,1,1,1,3,2222223331333,1,2,3,1,1,1,1,1,1,1,3,1,3,3,4,NA,0,21,2,1243111323132332288,111,1,2,1,3,1,"99 1 1 0 0 0 0",2,861,28,4,2,31,523,8,4,40,1,281,13,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,6,NA,1,1,NA,1,1,NA,NA,28,4,8,1,18,2,1,NA,1,NA,NA,1,8,"1,5004",1,8,5,2,2,NA
2760,1760,13,28,79,7,0,0,0,0,1,3,1,2,2,2,1,12,19,4,5,9,1,9,5,99,1,28,28,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,NA,0,32331233,2,0,1,1,1,1,1,2222221111313,1,4,1,4,2,2,1,3,3,1,3,3,3,3,2,NA,5,11,2,1823121133131333120,111,2,3,1,2,8,"9910 8 0 0 0 0",2,533,28,4,1,31,323,8,5,12,1,291,13,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,5,NA,5,2,NA,NA,2,NA,1,28,4,8,1,17,3,1,NA,1,NA,NA,1,8,"1,5004",2,5,5,2,2,NA
2760,1761,13,28,79,7,0,0,0,0,1,3,3,5,5,5,5,98,23,9,9,0,1,1,1,4,8,28,28,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,1,9,NA,0,NA,0,33133113,1,1,1,2,1,2,8,1821221111218,1,6,8,8,1,1,3,3,3,2,3,2,3,3,4,NA,0,39,0,8431112111312333824,811,2,98,1,2,7,"99 7 7 0 0 0 0",2,998,28,4,1,24,523,6,6,12,1,303,13,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,NA,3,3,1,NA,2,NA,NA,28,4,8,1,18,3,2,6,1,NA,NA,1,8,"1,5004",2,9,4,3,2,NA
