"muni_code","PP2019_11","PSOE2019_11","VOX2019_11","part2019_11","PP2019_04","PSOE2019_04","VOX2019_04","part2019_04","PP2016_06","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","PP2015_12","VOX2015_12","part2015_12","PSOE2011_11","PP2011_11","part2011_11","PSOE2008_03","PP2008_03","part2008_03","PP2004_03","PSOE2004_03","part2004_03","PP2000_03","PSOE2000_03","part2000_03"
"45132",0.344355758266819,0.194982896237172,0.305587229190422,0.739421868454126,0.274109014675052,0.167190775681342,0.235849056603774,0.805976430976431,0.575980392156863,0.151348039215686,0.00122549019607843,0.748748293126991,0.154084158415842,0.517326732673267,0.00185643564356436,0.778148854961832,0.176510522742702,0.712152070604209,0.776096033402923,0.283606557377049,0.666393442622951,0.813705921490353,0.570921985815603,0.365248226950355,0.792943361188487,0.577054794520548,0.354452054794521,0.777631578947368
"45133",0.259625390218522,0.354838709677419,0.245057232049948,0.699428162973553,0.200731595793324,0.348879743941472,0.182898948331047,0.79522792022792,0.431640625,0.31591796875,0.00244140625,0.73936360386128,0.328052190121156,0.397483690587139,0.0032618825722274,0.775017743080199,0.340609367894497,0.559345156889495,0.79950053514092,0.489343192692475,0.475424097433667,0.852465047829286,0.445023902651021,0.521512385919166,0.859525574499629,0.509028794533919,0.440702781844802,0.799381522999613
"45134",0.240441801189465,0.330501274426508,0.24553950722175,0.731812577065351,0.238574748257165,0.301316808675445,0.203718048024787,0.811062771908017,0.479026845637584,0.26258389261745,0.00167785234899329,0.761543327008223,0.303333333333333,0.444166666666667,0.00166666666666667,0.75875,0.314009661835749,0.578099838969404,0.784557907845579,0.422513492675405,0.499614494988435,0.847150259067358,0.473765432098765,0.439043209876543,0.851228978007762,0.531791907514451,0.35177539223782,0.813245033112583
"45135",0.259295499021526,0.351924331376386,0.154924983692107,0.750963391136802,0.217079725291132,0.344580471782622,0.129292326067483,0.815240833932423,0.40176399026764,0.273114355231144,0.00212895377128954,0.782384633403607,0.29655372140168,0.368664929047205,0.00405444540978859,0.815667131566713,0.314084507042254,0.510985915492958,0.816091954022989,0.464654487688642,0.461212602594652,0.855535553555355,0.473940048609236,0.443424250607615,0.862704445980189,0.507057846664821,0.381954054802104,0.833827893175074
"45136",0.287784679089027,0.335662525879917,0.241718426501035,0.670671014244036,0.269953051643192,0.318779342723005,0.153755868544601,0.740600858369099,0.504354316994277,0.270714107987061,0.000746454341876089,0.699914456800684,0.290878621019871,0.458223605458463,0.00981565717021786,0.72520908004779,0.255723443223443,0.639194139194139,0.749278560516041,0.417543121581826,0.552797644089188,0.817995210400274,0.533465433729635,0.435711140466755,0.797701949860724,0.562603159632162,0.349210091959444,0.77116497829233
"45137",0.167334669338677,0.437875751503006,0.214428857715431,0.653471771576898,0.143107989464443,0.417910447761194,0.135206321334504,0.737077217613274,0.322265625,0.404296875,0.0009765625,0.643391521197007,0.408966148215919,0.275388838060384,0.00274473924977127,0.681454097350585,0.443170964660936,0.440305635148042,0.656521739130435,0.579037800687285,0.384020618556701,0.745271122320303,0.296527159394479,0.666963490650045,0.726920593931569,0.373945641986879,0.563261480787254,0.677623261694058
"45138",0.361596009975062,0.339152119700748,0.20573566084788,0.768431001890359,0.347826086956522,0.345537757437071,0.1441647597254,0.842654028436019,0.507462686567164,0.307692307692308,0.00114810562571757,0.803849679193401,0.329199549041714,0.464487034949267,0.00338218714768884,0.813513513513514,0.350462487153135,0.602261048304214,0.842194092827004,0.475457170356112,0.504331087584216,0.878355704697987,0.509021842355176,0.473884140550807,0.896984924623116,0.560037523452158,0.407129455909944,0.837879968823071
"45139",0.279279279279279,0.540540540540541,0.135135135135135,0.770833333333333,0.358974358974359,0.538461538461538,0.0341880341880342,0.813793103448276,0.366906474820144,0.532374100719424,0,0.832335329341317,0.526315789473684,0.413533834586466,0,0.784883720930233,0.505154639175258,0.458762886597938,0.857142857142857,0.539267015706806,0.43979057591623,0.868778280542986,0.475409836065574,0.516393442622951,0.86411149825784,0.526315789473684,0.45933014354067,0.830708661417323
"45140",0.243523316062176,0.440414507772021,0.181347150259067,0.733023255813953,0.239080459770115,0.449425287356322,0.122988505747126,0.814508723599633,0.39003645200486,0.419198055893074,0,0.766329346826127,0.462328767123288,0.345890410958904,0,0.809698078682525,0.450980392156863,0.47520184544406,0.814167433302668,0.565118912797282,0.412231030577576,0.846299810246679,0.380681818181818,0.588636363636364,0.868884540117417,0.442446043165468,0.526378896882494,0.831858407079646
"45141",0.310569105691057,0.386991869918699,0.185365853658537,0.738207547169811,0.282706766917293,0.386466165413534,0.115789473684211,0.797408716136631,0.449927431059507,0.34833091436865,0.00145137880986938,0.791855203619909,0.361760660247593,0.433287482806052,0,0.819397993311037,0.331645569620253,0.548101265822785,0.830784913353721,0.473193473193473,0.46969696969697,0.845624385447394,0.470588235294118,0.483275663206459,0.850194552529183,0.485587583148559,0.46119733924612,0.843807763401109
"45142",0.310455192034139,0.333926031294452,0.20448079658606,0.733701232032854,0.275272668077487,0.320039068858864,0.130717890281621,0.800641025641026,0.474101569090602,0.262358697486081,0.00185591361565716,0.763181298437302,0.287313432835821,0.43429591174562,0.00308241401687216,0.795240519216086,0.278569116218841,0.607640012949174,0.789315274642588,0.429784557320333,0.528384966189652,0.83580922595778,0.526772793053546,0.428847081524361,0.83524088368379,0.603307223672759,0.351610095735422,0.787627464309993
"45143",0.315606936416185,0.285549132947977,0.188439306358381,0.735738255033557,0.296216216216216,0.274594594594595,0.149189189189189,0.789915966386555,0.45766590389016,0.231121281464531,0.0011441647597254,0.752991452991453,0.270833333333333,0.405701754385965,0.00109649122807018,0.783050847457627,0.280799112097669,0.566037735849057,0.703533026113671,0.427104722792608,0.440451745379877,0.792544570502431,0.427616926503341,0.402004454342984,0.800884955752212,0.464839094159714,0.286054827175209,0.771117166212534
"45144",0.287253141831239,0.432675044883303,0.154398563734291,0.763586956521739,0.301003344481605,0.421404682274247,0.0936454849498328,0.817567567567568,0.432038834951456,0.370550161812298,0,0.791826309067688,0.378125,0.378125,0.00625,0.809823677581864,0.406657018813314,0.50506512301013,0.835518474374255,0.512,0.458666666666667,0.867358708189158,0.484224965706447,0.465020576131687,0.844110854503464,0.527659574468085,0.426950354609929,0.803854875283447
