"prov","fecha","total_streets","f_streets"
"valencia","2001_06",31546,159
"valencia","2010_12",36424,118
"valencia","2011_06",36591,118
"valencia","2011_12",36699,119
"valencia","2012_06",36870,119
"valencia","2012_12",37082,114
"valencia","2013_06",37226,114
"valencia","2013_12",37330,114
"valencia","2014_06",37415,114
"valencia","2014_12",37496,114
"valencia","2015_06",37575,113
"valencia","2015_12",37602,112
"valencia","2016_06",37646,104
"valencia","2016_12",37690,101
"valencia","2017_06",37782,92
"valencia","2017_12",37862,81
"valencia","2018_06",37920,79
"valencia","2018_12",38164,79
"valencia","2019_06",38214,75
"valencia","2019_12",38365,74
"valencia","2020_06",38417,74
"valladolid","2001_06",10156,277
"valladolid","2010_12",11976,197
"valladolid","2011_06",12003,197
"valladolid","2011_12",12045,198
"valladolid","2012_06",12061,197
"valladolid","2012_12",12101,192
"valladolid","2013_06",12111,192
"valladolid","2013_12",12118,187
"valladolid","2014_06",12119,180
"valladolid","2014_12",12127,179
"valladolid","2015_06",12144,178
"valladolid","2015_12",12165,178
"valladolid","2016_06",12174,172
"valladolid","2016_12",12185,156
"valladolid","2017_06",12204,138
"valladolid","2017_12",12210,123
"valladolid","2018_06",12226,102
"valladolid","2018_12",12237,84
"valladolid","2019_06",12247,80
"valladolid","2019_12",12250,73
"valladolid","2020_06",12245,71
"zamora","2001_06",9603,221
"zamora","2010_12",10182,144
"zamora","2011_06",10200,144
"zamora","2011_12",10253,144
"zamora","2012_06",10271,141
"zamora","2012_12",10357,138
"zamora","2013_06",10365,138
"zamora","2013_12",10401,138
"zamora","2014_06",10420,138
"zamora","2014_12",10427,132
"zamora","2015_06",10439,129
"zamora","2015_12",10470,129
"zamora","2016_06",10503,129
"zamora","2016_12",10515,125
"zamora","2017_06",10531,110
"zamora","2017_12",10551,79
"zamora","2018_06",10563,67
"zamora","2018_12",10580,53
"zamora","2019_06",10589,48
"zamora","2019_12",10599,45
"zamora","2020_06",10603,43
"zaragoza","2001_06",11875,182
"zaragoza","2010_12",13647,82
"zaragoza","2011_06",13670,82
"zaragoza","2011_12",13688,76
"zaragoza","2012_06",13673,76
"zaragoza","2012_12",13755,73
"zaragoza","2013_06",13786,73
"zaragoza","2013_12",13822,73
"zaragoza","2014_06",13856,73
"zaragoza","2014_12",13886,73
"zaragoza","2015_06",13919,73
"zaragoza","2015_12",13962,72
"zaragoza","2016_06",14000,72
"zaragoza","2016_12",14065,67
"zaragoza","2017_06",14077,64
"zaragoza","2017_12",14085,55
"zaragoza","2018_06",14117,50
"zaragoza","2018_12",14143,49
"zaragoza","2019_06",14156,44
"zaragoza","2019_12",14173,39
"zaragoza","2020_06",14189,31
