"muni_code","pop1930","pop2011","prov_name","muni_name","ccaa","PP201904","VOX201904","part201904","PP201911","VOX201911","part201911","PP201606","VOX201606","part201606","VOX_chg_2019","vict_nac","vict_rep","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","izq1936","dcha1936"
1001,810,2860,"alava","Alegria-Dulantzi","euskadi",0.0704721634954193,0.0288935870331219,0.717206982543641,0.0830903790087464,0.0393586005830904,0.685643564356436,0.121396054628225,0.00151745068285281,0.676604345629106,1.36219156652208,0,NA,209,164,0.0730769230769231,0.0573426573426573,0.266666666666667,0.6
1002,3839,10071,"alava","Amurrio;Arrastaria;Lezama","euskadi",0.0503328462412729,0.0246793310602371,0.774984443061606,0.0584168683027999,0.026615969581749,0.728475168455203,0.0877255040679165,0.00424478245489919,0.704332840965042,1.07847208324995,5,NA,817,745,0.0811240194618211,0.0739747790686128,0.112827883578872,0.461372619475386
1003,1945,1507,"alava","Aramaio","euskadi",0.0044296788482835,0.00664451827242525,0.770144189991518,0.003584229390681,0.00597371565113501,0.722984562607204,0.0167958656330749,0.00645994832041344,0.657142857142857,0.899044205495818,2,NA,24,14,0.0159256801592568,0.0092899800928998,0.0190597204574333,0.362134688691233
1004,1108,1854,"alava","Artziniega","euskadi",0.0851703406813627,0.0200400801603206,0.742625368731563,0.0888888888888889,0.0349206349206349,0.701547531319086,0.130653266331658,0,0.720514653323803,1.74253968253968,1,NA,118,94,0.0636461704422869,0.0507011866235167,0.180851063829787,0.495744680851064
1006,446,227,"alava","Arminon","euskadi",0.141732283464567,0.102362204724409,0.721590909090909,0.172131147540984,0.147540983606557,0.71264367816092,0.257142857142857,0,0.8,1.44136191677175,4,NA,15,8,0.066079295154185,0.0352422907488987,0.0372670807453416,0.937888198757764
1008,1078,953,"alava","Arrazua Ubarrundia","euskadi",0.142105263157895,0.0192982456140351,0.718204488778055,0.128731343283582,0.0279850746268657,0.675742574257426,0.214145383104126,0.00392927308447937,0.652671755725191,1.45013568521031,1,NA,38,34,0.0398740818467996,0.0356768100734523,0.127423822714681,0.584487534626039
1009,2260,1691,"alava","Asparrena","euskadi",0.0306345733041575,0.0142231947483589,0.727272727272727,0.0348139255702281,0.0120048019207683,0.666931637519873,0.0733727810650888,0,0.671146245059289,0.844029919660172,7,NA,107,78,0.0632761679479598,0.0461265523358959,0.206809583858764,0.513240857503153
1010,2913,2894,"alava","Ayala/Aiara","euskadi",0.0621468926553672,0.019774011299435,0.772786177105832,0.0710900473933649,0.0266587677725118,0.736501079913607,0.0954460386774797,0.00124766063630692,0.715608465608466,1.34817197020988,4,NA,129,117,0.0445749827228749,0.0404284727021424,0.0942201108471892,0.60965954077593
1011,415,314,"alava","Banos de Ebro/Manueta","euskadi",0.285714285714286,0.0457142857142857,0.832558139534884,0.275,0.1125,0.76056338028169,0.409356725146199,0,0.740425531914894,2.4609375,0,NA,7,8,0.0222929936305732,0.0254777070063694,0.201183431952663,0.798816568047337
1013,1253,904,"alava","Barrundia","euskadi",0.0759753593429158,0.00410677618069815,0.698435277382646,0.0709677419354839,0.0021505376344086,0.66056338028169,0.104444444444444,0,0.637640449438202,0.523655913978495,1,NA,33,18,0.0365044247787611,0.0199115044247788,0.109053497942387,0.534979423868313
1014,907,480,"alava","Berantevilla","euskadi",0.176895306859206,0.0649819494584837,0.773224043715847,0.195488721804511,0.0639097744360902,0.740437158469945,0.261029411764706,0.00367647058823529,0.754716981132076,0.983500417710944,0,NA,32,16,0.0666666666666667,0.0333333333333333,0.219444444444444,0.744444444444444
1016,1639,572,"alava","Arlucea Marquinez;Bernedo;Arlucea;Marquinez;Quintana;San Roman de Campezo","euskadi",0.148471615720524,0.0218340611353712,0.560570071258907,0.135416666666667,0.0260416666666667,0.453271028037383,0.238938053097345,0,0.526558891454965,1.19270833333333,4,NA,19,13,0.0332167832167832,0.0227272727272727,0.146645865834633,0.614664586583463
1017,2004,1146,"alava","Campezo/Kanpezu;Antonana;Orbiso;Oteo;Santa Cruz de Campezo","euskadi",0.078397212543554,0.0156794425087108,0.709558823529412,0.0996240601503759,0.0225563909774436,0.657282741738066,0.145132743362832,0.00353982300884956,0.672555948174323,1.43859649122807,2,NA,59,40,0.0514834205933682,0.0349040139616056,0.132450331125828,0.528697571743929
1018,1222,1740,"alava","Zigoitia","euskadi",0.0855991943605237,0.0251762336354481,0.708806818181818,0.0971488912354805,0.0337909186906019,0.68120085775554,0.141935483870968,0,0.677489177489177,1.34217529039071,5,NA,57,48,0.0327586206896552,0.0275862068965517,0.0168776371308017,0.643459915611814
1019,250,196,"alava","Kripan","euskadi",0.107438016528926,0,0.817567567567568,0.0982142857142857,0,0.756756756756757,0.171428571428571,0,0.706666666666667,NA,0,NA,2,4,0.0102040816326531,0.0204081632653061,0.016260162601626,0.349593495934959
1020,906,355,"alava","Kuartango","euskadi",0.0966386554621849,0.0168067226890756,0.746875,0.102678571428571,0.00446428571428571,0.705882352941177,0.0982905982905983,0,0.724770642201835,0.265625,0,NA,12,13,0.0338028169014084,0.0366197183098592,0.26875,0.696875
1021,565,624,"alava","Elburgo / Burgelu","euskadi",0.154545454545455,0.0666666666666667,0.71002132196162,0.150470219435737,0.0532915360501567,0.681528662420382,0.233009708737864,0.00323624595469256,0.6553911205074,0.799373040752351,0,NA,18,13,0.0288461538461538,0.0208333333333333,0.112745098039216,0.632352941176471
