"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PSOE2019_04","VOX2019_04","part2019_04","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","VOX2015_12","part2015_12","PSOE2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PP_share"
9211,"burgos","Melgar de Fernamental",7.49720722320332,"castilla y leon",2,0,1,1,1,1,0,0,3,3,3,1,1,121,88,0.0671103716028841,0.0488075429839157,0.27047619047619,0.131428571428571,0.781938325991189,0.195380173243503,0.00192492781520693,0.732824427480916,0.229906542056075,0.00186915887850467,0.74281805745554,0.241748438893845,0.763599731363331,0,0,0,0,0,0,0,0,1.38629436111989,1.38629436111989,0.693147180559945,0.693147180559945,1.09861228866811,1.14006514657981,"2015_12",51.8691588785047
9211,"burgos","Melgar de Fernamental",7.49720722320332,"castilla y leon",2,0,1,1,1,1,0,0,3,3,3,1,1,121,88,0.0671103716028841,0.0488075429839157,0.27047619047619,0.131428571428571,0.781938325991189,0.195380173243503,0.00192492781520693,0.732824427480916,0.229906542056075,0.00186915887850467,0.74281805745554,0.241748438893845,0.763599731363331,0,0,0,0,0,0,0,0,1.38629436111989,1.38629436111989,0.693147180559945,0.693147180559945,1.09861228866811,1.14006514657981,"2011_11",66.4585191793042
9214,"burgos","Merindad de Montija",6.7286286130847,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,42,27,0.0502392344497608,0.0322966507177033,0.350561797752809,0.107865168539326,0.708268330733229,0.243559718969555,0,0.635416666666667,0.228699551569507,0,0.660818713450292,0.359743040685225,0.658839779005525,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.23003685503686,"2019_04",24.4943820224719
9214,"burgos","Merindad de Montija",6.7286286130847,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,42,27,0.0502392344497608,0.0322966507177033,0.350561797752809,0.107865168539326,0.708268330733229,0.243559718969555,0,0.635416666666667,0.228699551569507,0,0.660818713450292,0.359743040685225,0.658839779005525,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.23003685503686,"2016_06",41.4519906323185
9214,"burgos","Merindad de Montija",6.7286286130847,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,42,27,0.0502392344497608,0.0322966507177033,0.350561797752809,0.107865168539326,0.708268330733229,0.243559718969555,0,0.635416666666667,0.228699551569507,0,0.660818713450292,0.359743040685225,0.658839779005525,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.23003685503686,"2015_12",39.237668161435
9214,"burgos","Merindad de Montija",6.7286286130847,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,42,27,0.0502392344497608,0.0322966507177033,0.350561797752809,0.107865168539326,0.708268330733229,0.243559718969555,0,0.635416666666667,0.228699551569507,0,0.660818713450292,0.359743040685225,0.658839779005525,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.23003685503686,"2011_11",50.9635974304068
9220,"burgos","Miraveche",4.44265125649032,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,2,0,0.0235294117647059,0,0.362068965517241,0.103448275862069,0.842857142857143,0.240740740740741,0,0.746666666666667,0.163934426229508,0,0.815789473684211,0.316666666666667,0.731707317073171,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.30128205128205,"2019_04",34.4827586206897
9220,"burgos","Miraveche",4.44265125649032,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,2,0,0.0235294117647059,0,0.362068965517241,0.103448275862069,0.842857142857143,0.240740740740741,0,0.746666666666667,0.163934426229508,0,0.815789473684211,0.316666666666667,0.731707317073171,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.30128205128205,"2016_06",57.4074074074074
9220,"burgos","Miraveche",4.44265125649032,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,2,0,0.0235294117647059,0,0.362068965517241,0.103448275862069,0.842857142857143,0.240740740740741,0,0.746666666666667,0.163934426229508,0,0.815789473684211,0.316666666666667,0.731707317073171,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.30128205128205,"2015_12",44.2622950819672
9220,"burgos","Miraveche",4.44265125649032,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,2,0,0.0235294117647059,0,0.362068965517241,0.103448275862069,0.842857142857143,0.240740740740741,0,0.746666666666667,0.163934426229508,0,0.815789473684211,0.316666666666667,0.731707317073171,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.30128205128205,"2011_11",56.6666666666667
