"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","VOX2019_04","part2019_04","PP2016_06","VOX2016_06","part2016_06","PP2015_12","VOX2015_12","part2015_12","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PSOE_share"
45053,"toledo","Consuegra",9.2897982933109,"castilla-la mancha",0,0,0,0,0,0,0,0,3,4,4,4,4,1174,772,0.108432622148333,0.0713032234229242,0.213327017211432,0.141954839728407,0.822057697217258,0.42328990228013,0.00211726384364821,0.775890068707058,0.375039246467818,0.00251177394034537,0.801243008079553,0.514482965631097,0.8239522417154,0,0,0,0,0,0,0,0,1.38629436111989,1.6094379124341,1.6094379124341,1.6094379124341,0,1.4293712201232,"2019_04",36.980893731249
45053,"toledo","Consuegra",9.2897982933109,"castilla-la mancha",0,0,0,0,0,0,0,0,3,4,4,4,4,1174,772,0.108432622148333,0.0713032234229242,0.213327017211432,0.141954839728407,0.822057697217258,0.42328990228013,0.00211726384364821,0.775890068707058,0.375039246467818,0.00251177394034537,0.801243008079553,0.514482965631097,0.8239522417154,0,0,0,0,0,0,0,0,1.38629436111989,1.6094379124341,1.6094379124341,1.6094379124341,0,1.4293712201232,"2016_06",33.2736156351792
45053,"toledo","Consuegra",9.2897982933109,"castilla-la mancha",0,0,0,0,0,0,0,0,3,4,4,4,4,1174,772,0.108432622148333,0.0713032234229242,0.213327017211432,0.141954839728407,0.822057697217258,0.42328990228013,0.00211726384364821,0.775890068707058,0.375039246467818,0.00251177394034537,0.801243008079553,0.514482965631097,0.8239522417154,0,0,0,0,0,0,0,0,1.38629436111989,1.6094379124341,1.6094379124341,1.6094379124341,0,1.4293712201232,"2015_12",36.7660910518053
45053,"toledo","Consuegra",9.2897982933109,"castilla-la mancha",0,0,0,0,0,0,0,0,3,4,4,4,4,1174,772,0.108432622148333,0.0713032234229242,0.213327017211432,0.141954839728407,0.822057697217258,0.42328990228013,0.00211726384364821,0.775890068707058,0.375039246467818,0.00251177394034537,0.801243008079553,0.514482965631097,0.8239522417154,0,0,0,0,0,0,0,0,1.38629436111989,1.6094379124341,1.6094379124341,1.6094379124341,0,1.4293712201232,"2011_11",37.2054630046526
45054,"toledo","Corral de Almaguer",8.71555212590782,"castilla-la mancha",0,0,0,0,0,0,0,0,1,1,1,1,1,566,447,0.0928325405937346,0.073314744956536,0.260529891304348,0.152513586956522,0.777864787261812,0.498595505617978,0.000351123595505618,0.727961606466279,0.457547169811321,0,0.750187734668335,0.635613927916921,0.775029171528588,0,1,1,0,0,1,1,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.78429925884347,"2019_04",31.6915760869565
45054,"toledo","Corral de Almaguer",8.71555212590782,"castilla-la mancha",0,0,0,0,0,0,0,0,1,1,1,1,1,566,447,0.0928325405937346,0.073314744956536,0.260529891304348,0.152513586956522,0.777864787261812,0.498595505617978,0.000351123595505618,0.727961606466279,0.457547169811321,0,0.750187734668335,0.635613927916921,0.775029171528588,0,1,1,0,0,1,1,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.78429925884347,"2016_06",26.4044943820225
45054,"toledo","Corral de Almaguer",8.71555212590782,"castilla-la mancha",0,0,0,0,0,0,0,0,1,1,1,1,1,566,447,0.0928325405937346,0.073314744956536,0.260529891304348,0.152513586956522,0.777864787261812,0.498595505617978,0.000351123595505618,0.727961606466279,0.457547169811321,0,0.750187734668335,0.635613927916921,0.775029171528588,0,1,1,0,0,1,1,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.78429925884347,"2015_12",26.9204851752022
45054,"toledo","Corral de Almaguer",8.71555212590782,"castilla-la mancha",0,0,0,0,0,0,0,0,1,1,1,1,1,566,447,0.0928325405937346,0.073314744956536,0.260529891304348,0.152513586956522,0.777864787261812,0.498595505617978,0.000351123595505618,0.727961606466279,0.457547169811321,0,0.750187734668335,0.635613927916921,0.775029171528588,0,1,1,0,0,1,1,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.78429925884347,"2011_11",27.6114844227245
45055,"toledo","Cuerva",7.33367639565768,"castilla-la mancha",0,0,0,0,0,0,0,0,8,8,8,8,8,140,91,0.0914435009797518,0.0594382756368387,0.300724637681159,0.136473429951691,0.845691382765531,0.492405063291139,0.00126582278481013,0.804901960784314,0.453032104637337,0.00713436385255648,0.830426356589147,0.572413793103448,0.842205323193916,0,1,1,0,0,1,1,0,2.19722457733622,2.19722457733622,2.19722457733622,2.19722457733622,0,1.37813983473011,"2019_04",39.4927536231884
45055,"toledo","Cuerva",7.33367639565768,"castilla-la mancha",0,0,0,0,0,0,0,0,8,8,8,8,8,140,91,0.0914435009797518,0.0594382756368387,0.300724637681159,0.136473429951691,0.845691382765531,0.492405063291139,0.00126582278481013,0.804901960784314,0.453032104637337,0.00713436385255648,0.830426356589147,0.572413793103448,0.842205323193916,0,1,1,0,0,1,1,0,2.19722457733622,2.19722457733622,2.19722457733622,2.19722457733622,0,1.37813983473011,"2016_06",33.6708860759494
