"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_11","PSOE2019_11","VOX2019_11","part2019_11","PP2019_04","PSOE2019_04","VOX2019_04","part2019_04","PP2016_06","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","PP2015_12","VOX2015_12","part2015_12","PSOE2011_11","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX"
1001,"alava","Alegria-Dulantzi",7.9585769038139,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,209,164,0.0730769230769231,0.0573426573426573,0.0830903790087464,0.206997084548105,0.0393586005830904,0.685643564356436,0.0704721634954193,0.214235377026075,0.0288935870331219,0.717206982543641,0.121396054628225,0.155538694992413,0.00151745068285281,0.676604345629106,0.139501779359431,0.107473309608541,NA,0.71875,0.209580838323353,0.196107784431138,0.677611940298507,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36219156652208
1002,"alava","Amurrio",9.21741528564814,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,817,745,0.0811240194618211,0.0739747790686129,0.0584168683027999,0.160732803318355,0.026615969581749,0.728475168455203,0.0503328462412729,0.168209124857931,0.0246793310602371,0.774984443061606,0.0877255040679165,0.104704633887513,0.00424478245489919,0.704332840965042,0.09782238856754,0.0852330724736305,NA,0.732399557685219,0.180997047073128,0.136182039256557,0.72657316619089,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07847208324995
1003,"alava","Aramaio",7.3178761986265,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0.0159256801592568,0.0092899800928998,0.003584229390681,0.031063321385902,0.00597371565113501,0.722984562607204,0.0044296788482835,0.0409745293466224,0.00664451827242525,0.770144189991518,0.0167958656330749,0.0155038759689922,0.00645994832041344,0.657142857142857,0.0120048019207683,0.0132052821128451,NA,0.709949409780776,0.0389150943396226,0.0200471698113208,0.71976647206005,1,1,0,0,0,0,0,0,0,0,0,0,0,0.899044205495819
1004,"alava","Artziniega",7.5251007461258,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,118,94,0.063646170442287,0.0507011866235167,0.0888888888888889,0.114285714285714,0.0349206349206349,0.701547531319086,0.0851703406813627,0.134268537074148,0.0200400801603206,0.742625368731563,0.130653266331658,0.071356783919598,0,0.720514653323803,0.0643564356435644,0.11980198019802,NA,0.730249110320285,0.118473895582329,0.200803212851406,0.715487035739313,0,1,1,0,0,0,0,0,0,0,0,0,0,1.74253968253969
1006,"alava","Arminon",5.4249500174814,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0.066079295154185,0.0352422907488987,0.172131147540984,0.163934426229508,0.147540983606557,0.71264367816092,0.141732283464567,0.165354330708661,0.102362204724409,0.721590909090909,0.257142857142857,0.128571428571429,0,0.8,0.106382978723404,0.234042553191489,NA,0.806818181818182,0.181102362204724,0.496062992125984,0.734806629834254,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44136191677176
1008,"alava","Arrazua Ubarrundia",6.8596149036542,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,0.0398740818467996,0.0356768100734523,0.128731343283582,0.166044776119403,0.0279850746268657,0.675742574257426,0.142105263157895,0.156140350877193,0.0192982456140351,0.718204488778055,0.214145383104126,0.0726915520628684,0.00392927308447937,0.652671755725191,0.0682656826568266,0.177121771217712,NA,0.693670886075949,0.142857142857143,0.258241758241758,0.724711907810499,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45013568521031
1009,"alava","Asparrena",7.43307534889858,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,107,78,0.0632761679479598,0.0461265523358959,0.0348139255702281,0.105642256902761,0.0120048019207683,0.666931637519873,0.0306345733041575,0.12363238512035,0.0142231947483589,0.727272727272727,0.0733727810650888,0.0899408284023669,0,0.671146245059289,0.0812917594654788,0.0623608017817372,NA,0.708821233411397,0.148319814600232,0.0938586326767092,0.675925925925926,1,1,0,0,0,0,0,0,0,0,0,0,0,0.844029919660169
1010,"alava","Ayala/Aiara",7.97039490719143,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,129,117,0.0445749827228749,0.0404284727021424,0.0710900473933649,0.101303317535545,0.0266587677725118,0.736501079913607,0.0621468926553672,0.110734463276836,0.019774011299435,0.772786177105832,0.0954460386774797,0.0636306924516531,0.00124766063630692,0.715608465608466,0.0570762958648806,0.0879440885264997,NA,0.76,0.103213844252163,0.15327564894932,0.724516695957821,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34817197020988
1011,"alava","Banos de Ebro/Manueta",5.74939298590825,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.0222929936305733,0.0254777070063694,0.275,0.175,0.1125,0.76056338028169,0.285714285714286,0.165714285714286,0.0457142857142857,0.832558139534884,0.409356725146199,0.0935672514619883,0,0.740425531914894,0.0971428571428571,0.417142857142857,NA,0.746835443037975,0.113513513513514,0.481081081081081,0.771428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4609375
1013,"alava","Barrundia",6.80682936039218,"euskadi",0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,0.0365044247787611,0.0199115044247788,0.0709677419354839,0.0817204301075269,0.0021505376344086,0.66056338028169,0.0759753593429158,0.106776180698152,0.00410677618069815,0.698435277382646,0.104444444444444,0.0511111111111111,0,0.637640449438202,0.0331262939958592,0.0973084886128364,NA,0.683544303797468,0.0780590717299578,0.143459915611814,0.670886075949367,1,1,0,0,0,0,0,0,0,0,0,0,0,0.523655913978494
