"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","PSOE2019_04","part2019_04","PP2016_06","PSOE2016_06","part2016_06","PSOE2015_12","PP2015_12","part2015_12","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","VOX_share"
12901,"castellon","Alquerias del Nino Perdido",8.40110871239544,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,187,148,0.0420035938903863,0.0332434860736747,0.183551401869159,0.307663551401869,0.802204349121239,0.33256351039261,0.264434180138568,0.771218795888399,0.253753753753754,0.290165165165165,0.783862510923391,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.54420413515168,"2016_06",0.0769822940723634
12901,"castellon","Alquerias del Nino Perdido",8.40110871239544,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,187,148,0.0420035938903863,0.0332434860736747,0.183551401869159,0.307663551401869,0.802204349121239,0.33256351039261,0.264434180138568,0.771218795888399,0.253753753753754,0.290165165165165,0.783862510923391,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.54420413515168,"2015_12",0.187687687687688
12902,"castellon","Sant Joan de Moro",7.99867136101578,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,292,207,0.0980853207927444,0.0695330870003359,0.253478523895947,0.261343012704174,0.74644128113879,0.421087978509066,0.200134318334453,0.696941612604263,0.212890625,0.382161458333333,0.727188081936685,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.80155771888993,"2019_04",13.3696309739867
12902,"castellon","Sant Joan de Moro",7.99867136101578,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,292,207,0.0980853207927444,0.0695330870003359,0.253478523895947,0.261343012704174,0.74644128113879,0.421087978509066,0.200134318334453,0.696941612604263,0.212890625,0.382161458333333,0.727188081936685,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.80155771888993,"2016_06",0.134318334452653
12902,"castellon","Sant Joan de Moro",7.99867136101578,"comunidad valenciana",0,0,0,0,0,0,0,0,1,1,1,1,1,292,207,0.0980853207927444,0.0695330870003359,0.253478523895947,0.261343012704174,0.74644128113879,0.421087978509066,0.200134318334453,0.696941612604263,0.212890625,0.382161458333333,0.727188081936685,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.80155771888993,"2015_12",0.130208333333333
14001,"cordoba","Adamuz",8.39298958795693,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,303,211,0.0686141304347826,0.0477807971014493,0.214579439252336,0.42803738317757,0.791170490851002,0.347077805665113,0.410899964144855,0.807342060330108,0.420848056537102,0.306360424028269,0.805461711711712,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.82126419564803,"2019_04",8.18691588785047
14001,"cordoba","Adamuz",8.39298958795693,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,303,211,0.0686141304347826,0.0477807971014493,0.214579439252336,0.42803738317757,0.791170490851002,0.347077805665113,0.410899964144855,0.807342060330108,0.420848056537102,0.306360424028269,0.805461711711712,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.82126419564803,"2016_06",0.0717102904266762
14001,"cordoba","Adamuz",8.39298958795693,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,303,211,0.0686141304347826,0.0477807971014493,0.214579439252336,0.42803738317757,0.791170490851002,0.347077805665113,0.410899964144855,0.807342060330108,0.420848056537102,0.306360424028269,0.805461711711712,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.82126419564803,"2015_12",NA
14007,"cordoba","Baena",9.90653291072209,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1473,1113,0.0734260505458352,0.0554807836099895,0.174567763524819,0.393009853132553,0.72929131764393,0.29490256311798,0.40961889219545,0.694285526402315,0.4222954420648,0.255171151382025,0.727894736842105,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00460736225534,"2019_04",10.2621305075293
14007,"cordoba","Baena",9.90653291072209,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1473,1113,0.0734260505458352,0.0554807836099895,0.174567763524819,0.393009853132553,0.72929131764393,0.29490256311798,0.40961889219545,0.694285526402315,0.4222954420648,0.255171151382025,0.727894736842105,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00460736225534,"2016_06",0.134395699337621
14007,"cordoba","Baena",9.90653291072209,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1473,1113,0.0734260505458352,0.0554807836099895,0.174567763524819,0.393009853132553,0.72929131764393,0.29490256311798,0.40961889219545,0.694285526402315,0.4222954420648,0.255171151382025,0.727894736842105,1,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00460736225534,"2015_12",NA
14008,"cordoba","Belalcazar",8.15478757276852,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,456,357,0.131034482758621,0.102586206896552,0.217277486910995,0.454973821989529,0.697307001795332,0.354617414248021,0.426385224274406,0.671010919337795,0.478367748279253,0.316125860373648,0.715081853012888,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.85915895511119,"2019_04",10.5759162303665
14008,"cordoba","Belalcazar",8.15478757276852,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,456,357,0.131034482758621,0.102586206896552,0.217277486910995,0.454973821989529,0.697307001795332,0.354617414248021,0.426385224274406,0.671010919337795,0.478367748279253,0.316125860373648,0.715081853012888,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.85915895511119,"2016_06",0
14008,"cordoba","Belalcazar",8.15478757276852,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,456,357,0.131034482758621,0.102586206896552,0.217277486910995,0.454973821989529,0.697307001795332,0.354617414248021,0.426385224274406,0.671010919337795,0.478367748279253,0.316125860373648,0.715081853012888,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.85915895511119,"2015_12",NA
14013,"cordoba","Cabra",9.95631716618066,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1824,1387,0.0865069954944273,0.0657813611572207,0.228123990958993,0.342508879560865,0.759937364490484,0.393250688705234,0.305096418732782,0.704334365325077,0.319075237634928,0.361285645239246,0.747937073315524,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.95942761375503,"2019_04",12.4071682273168
14013,"cordoba","Cabra",9.95631716618066,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1824,1387,0.0865069954944273,0.0657813611572207,0.228123990958993,0.342508879560865,0.759937364490484,0.393250688705234,0.305096418732782,0.704334365325077,0.319075237634928,0.361285645239246,0.747937073315524,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.95942761375503,"2016_06",0.232438016528926
14013,"cordoba","Cabra",9.95631716618066,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1824,1387,0.0865069954944273,0.0657813611572207,0.228123990958993,0.342508879560865,0.759937364490484,0.393250688705234,0.305096418732782,0.704334365325077,0.319075237634928,0.361285645239246,0.747937073315524,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.95942761375503,"2015_12",NA
14014,"cordoba","Canete de las Torres",8.05229649953865,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,121,104,0.0385227634511302,0.0331104743712193,0.208866995073892,0.477339901477833,0.82542845755281,0.285500747384155,0.458395615346288,0.795854517012124,0.467951807228916,0.256867469879518,0.818677042801556,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.86063728060705,"2019_04",5.86206896551724
14014,"cordoba","Canete de las Torres",8.05229649953865,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,121,104,0.0385227634511302,0.0331104743712193,0.208866995073892,0.477339901477833,0.82542845755281,0.285500747384155,0.458395615346288,0.795854517012124,0.467951807228916,0.256867469879518,0.818677042801556,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.86063728060705,"2016_06",0.049825610363727
14014,"cordoba","Canete de las Torres",8.05229649953865,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,121,104,0.0385227634511302,0.0331104743712193,0.208866995073892,0.477339901477833,0.82542845755281,0.285500747384155,0.458395615346288,0.795854517012124,0.467951807228916,0.256867469879518,0.818677042801556,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.86063728060705,"2015_12",NA
14017,"cordoba","Carlota, La",9.52981176691737,"andalucia",1,0,1,1,1,1,0,0,1,1,1,0,0,1408,1081,0.102295844231328,0.0785382156349898,0.133198187455283,0.471380872883377,0.777889447236181,0.270711024135682,0.456099151989563,0.714390872285609,0.469796985926018,0.234026653381492,0.747998895942589,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.6626385306443,"2019_04",11.0779871213928
14017,"cordoba","Carlota, La",9.52981176691737,"andalucia",1,0,1,1,1,1,0,0,1,1,1,0,0,1408,1081,0.102295844231328,0.0785382156349898,0.133198187455283,0.471380872883377,0.777889447236181,0.270711024135682,0.456099151989563,0.714390872285609,0.469796985926018,0.234026653381492,0.747998895942589,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.6626385306443,"2016_06",0.117416829745597
14017,"cordoba","Carlota, La",9.52981176691737,"andalucia",1,0,1,1,1,1,0,0,1,1,1,0,0,1408,1081,0.102295844231328,0.0785382156349898,0.133198187455283,0.471380872883377,0.777889447236181,0.270711024135682,0.456099151989563,0.714390872285609,0.469796985926018,0.234026653381492,0.747998895942589,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.6626385306443,"2015_12",NA
14018,"cordoba","Carpio, El",8.42310226801664,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,539,435,0.118435508679411,0.0955833882663151,0.199927033929223,0.345129514775629,0.775962337302686,0.328307576328685,0.345269506219374,0.727150175249393,0.360857343640197,0.291988756148981,0.776819407008086,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.66189483190762,"2019_04",11.2002918642831
14018,"cordoba","Carpio, El",8.42310226801664,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,539,435,0.118435508679411,0.0955833882663151,0.199927033929223,0.345129514775629,0.775962337302686,0.328307576328685,0.345269506219374,0.727150175249393,0.360857343640197,0.291988756148981,0.776819407008086,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.66189483190762,"2016_06",0.376931775348662
14018,"cordoba","Carpio, El",8.42310226801664,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,539,435,0.118435508679411,0.0955833882663151,0.199927033929223,0.345129514775629,0.775962337302686,0.328307576328685,0.345269506219374,0.727150175249393,0.360857343640197,0.291988756148981,0.776819407008086,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.66189483190762,"2015_12",NA
14021,"cordoba","Cordoba",12.7017622962113,"andalucia",0,0,0,0,0,1,1,0,3,3,3,3,2,42208,34802,0.128555155546621,0.105998306561162,0.203770743731757,0.261162164670937,0.752508669454717,0.398357619712999,0.212705436156764,0.698648617484953,0.212702204118193,0.351507267085382,0.726160598641757,1,0,0,0,1,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,0,1.35430308442673,"2019_04",15.0138721288819
14021,"cordoba","Cordoba",12.7017622962113,"andalucia",0,0,0,0,0,1,1,0,3,3,3,3,2,42208,34802,0.128555155546621,0.105998306561162,0.203770743731757,0.261162164670937,0.752508669454717,0.398357619712999,0.212705436156764,0.698648617484953,0.212702204118193,0.351507267085382,0.726160598641757,1,0,0,0,1,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,0,1.35430308442673,"2016_06",0.212921684742831
14021,"cordoba","Cordoba",12.7017622962113,"andalucia",0,0,0,0,0,1,1,0,3,3,3,3,2,42208,34802,0.128555155546621,0.105998306561162,0.203770743731757,0.261162164670937,0.752508669454717,0.398357619712999,0.212705436156764,0.698648617484953,0.212702204118193,0.351507267085382,0.726160598641757,1,0,0,0,1,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,0,1.35430308442673,"2015_12",NA
14029,"cordoba","Fuente Obejuna",8.5434455625603,"andalucia",0,0,0,0,0,0,1,1,1,1,1,1,1,818,671,0.159360997467368,0.130722774206117,0.227048371174729,0.467258966765383,0.766691486721271,0.327351279494849,0.43403123961449,0.72929631402585,0.457735247208931,0.304944178628389,0.753685211602473,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.89636463243501,"2019_04",7.96314577163541
14029,"cordoba","Fuente Obejuna",8.5434455625603,"andalucia",0,0,0,0,0,0,1,1,1,1,1,1,1,818,671,0.159360997467368,0.130722774206117,0.227048371174729,0.467258966765383,0.766691486721271,0.327351279494849,0.43403123961449,0.72929631402585,0.457735247208931,0.304944178628389,0.753685211602473,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.89636463243501,"2016_06",0.0664672648720505
14029,"cordoba","Fuente Obejuna",8.5434455625603,"andalucia",0,0,0,0,0,0,1,1,1,1,1,1,1,818,671,0.159360997467368,0.130722774206117,0.227048371174729,0.467258966765383,0.766691486721271,0.327351279494849,0.43403123961449,0.72929631402585,0.457735247208931,0.304944178628389,0.753685211602473,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.89636463243501,"2015_12",NA
